,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1487129,393,300 (76.33%),93 (23.66%),58.09 USD,-138.89 USD,"2 337.12 USD
 (29 157 pips)","-827.26 USD
 (11 578 pips)",23 (223.76 USD),223.76 USD (23),0.38,8.24%,16.06%,23 hours ago,6.0,8 hours,6.71,200 (50.89%),193 (49.11%),2.83,3.84 USD,7.79 USD,-8.90 USD,4 (-20.80 USD),-223.83 USD (2),25.26%,306.53%,0%,0.42 USD,224.95 USD (15.79%),21.74% (224.88 USD),28.01% (232.68 USD)
0,1214100,450,311 (69.11%),139 (30.89%),388.40 USD,-280.60 USD,"13 183.09 USD
 (150 035 pips)","-5 122.88 USD
 (85 374 pips)",39 (283.88 USD),974.80 USD (9),0.25,63.76%,9.29%,16 hours ago,6.0,4 days,12.92,215 (47.78%),235 (52.22%),2.57,17.91 USD,42.39 USD,-36.86 USD,10 (-61.07 USD),-560.03 USD (7),16.46%,199.70%,0%,0.00 USD,623.71 USD (11.19%),11.19% (623.71 USD),34.97% (355.56 USD)
0,1368342,711,529 (74.40%),182 (25.60%),381.41 USD,-190.64 USD,"10 528.32 USD
 (636 983 pips)","-3 940.88 USD
 (88 931 pips)",95 (524.98 USD),692.77 USD (4),0.21,74.43%,8.84%,26 minutes ago,33.0,2 days,8.56,354 (49.79%),357 (50.21%),2.67,9.27 USD,19.90 USD,-21.65 USD,12 (-240.91 USD),-748.81 USD (8),3.46%,41.94%,91%,0.10 USD,769.15 USD (12.20%),6.04% (769.15 USD),23.81% (2 861.97 USD)
0,843451,848,600 (70.75%),248 (29.25%),254.65 AUD,-81.42 AUD,"4 472.26 AUD
 (25 305 pips)","-2 421.43 AUD
 (11 087 pips)",17 (12.66 AUD),475.66 AUD (5),0.13,6.43%,11.46%,10 hours ago,9.0,7 hours,10.15,387 (45.64%),461 (54.36%),1.85,2.42 AUD,7.45 AUD,-9.76 AUD,7 (-116.47 AUD),-169.93 AUD (4),8.55%,103.76%,100%,74.21 AUD,202.03 AUD (12.26%),26.58% (146.20 AUD),9.10% (54.92 AUD)
0,798045,6 060,5 252 (86.66%),808 (13.33%),513.73 USD,-501.06 USD,"27 682.90 USD
 (691 317 pips)","-11 972.08 USD
 (478 902 pips)",64 (43.92 USD),2 276.13 USD (46),0.1,90.16%,14.36%,1 hour ago,20.0,1 day,28.3,3 488 (57.56%),2 572 (42.44%),2.31,2.59 USD,5.27 USD,-14.82 USD,23 (-430.39 USD),-513.36 USD (2),3.67%,44.52%,96%,11.15 USD,555.13 USD (3.45%),16.49% (517.87 USD),34.09% (3 401.59 USD)
0,1559274,198,167 (84.34%),31 (15.66%),62.88 USD,-21.25 USD,"547.62 USD
 (32 873 pips)","-181.06 USD
 (16 191 pips)",17 (28.63 USD),83.01 USD (10),0.21,19.42%,13.17%,2 hours ago,14.0,4 hours,10.08,97 (48.99%),101 (51.01%),3.02,1.85 USD,3.28 USD,-5.84 USD,2 (-36.37 USD),-36.37 USD (2),44.31%,537.65%,100%,1.54 USD,36.37 USD (13.62%),17.63% (36.37 USD),25.77% (51.95 USD)
0,1526229,1 506,1 192 (79.15%),314 (20.85%),30.11 USD,-129.48 USD,"7 053.76 USD
 (162 523 pips)","-3 725.79 USD
 (74 679 pips)",77 (216.17 USD),823.58 USD (60),0.23,50.20%,20.59%,7 minutes ago,54.0,4 hours,9.28,765 (50.80%),741 (49.20%),1.89,2.21 USD,5.92 USD,-11.87 USD,14 (-335.69 USD),-354.33 USD (7),-5.93%,-71.93%,100%,27.71 USD,358.70 USD (8.84%),25.39% (165.63 USD),29.64% (723.27 USD)
0,1334849,317,236 (74.44%),81 (25.55%),44.96 USD,-11.78 USD,"730.22 USD
 (41 533 pips)","-259.87 USD
 (22 079 pips)",19 (33.10 USD),64.02 USD (12),0.24,32.40%,45.21%,7 minutes ago,16.0,6 hours,21.08,45 (14.20%),272 (85.80%),2.81,1.48 USD,3.09 USD,-3.21 USD,3 (-8.54 USD),-22.31 USD (2),54.14%,656.92%,100%,0.00 USD,22.31 USD (8.48%),10.01% (20.64 USD),46.62% (96.14 USD)
0,802199,6 282,4 811 (76.58%),1 471 (23.42%),4 265.98 EUR,-2 265.51 EUR,"191 362.45 EUR
 (1 230 783 pips)","-73 640.21 EUR
 (786 761 pips)",156 (6 324.66 EUR),9 308.15 EUR (21),0.21,98.74%,100.00%,6 hours ago,98.0,3 days,10.32,2 366 (37.66%),3 916 (62.34%),2.6,18.74 EUR,39.78 EUR,-50.06 EUR,80 (-11 384.09 EUR),-11 384.09 EUR (80),6.61%,80.61%,90%,0.00 EUR,11 409.53 EUR (19.25%),9.56% (11 409.53 EUR),47.46% (45 827.69 EUR)
0,790719,1 163,895 (76.95%),268 (23.04%),374.55 USD,-110.70 USD,"12 653.72 USD
 (227 110 pips)","-3 960.11 USD
 (82 465 pips)",35 (1 299.91 USD),1 299.91 USD (35),0.28,51.38%,61.18%,2 days ago,15.0,2 days,23.22,584 (50.21%),579 (49.79%),3.2,7.48 USD,14.14 USD,-14.78 USD,10 (-21.89 USD),-374.39 USD (4),3.06%,37.13%,98%,0.24 USD,374.39 USD (11.67%),6.97% (377.75 USD),48.35% (322.57 USD)
0,1506203,234,218 (93.16%),16 (6.84%),49.79 AUD,-63.16 AUD,"840.44 AUD
 (10 044 pips)","-351.04 AUD
 (3 133 pips)",49 (128.57 AUD),149.22 AUD (43),0.24,7.41%,17.83%,17 hours ago,6.0,3 hours,7.75,93 (39.74%),141 (60.26%),2.39,2.09 AUD,3.86 AUD,-21.94 AUD,2 (-18.98 AUD),-63.16 AUD (1),11.25%,136.52%,99%,0.00 AUD,63.16 AUD (11.66%),11.24% (18.98 AUD),32.86% (165.06 AUD)
0,890367,1 875,1 435 (76.53%),440 (23.47%),344.30 USD,-122.96 USD,"13 596.60 USD
 (460 547 pips)","-5 240.80 USD
 (216 876 pips)",48 (574.43 USD),574.43 USD (48),0.29,64.00%,6.96%,6 hours ago,18.0,2 days,29.91,993 (52.96%),882 (47.04%),2.59,4.46 USD,9.47 USD,-11.91 USD,4 (-279.38 USD),-279.38 USD (4),1.61%,19.55%,99%,0.00 USD,279.38 USD (2.46%),2.46% (279.38 USD),23.92% (2 915.55 USD)
0,1486477,218,177 (81.19%),41 (18.81%),51.00 USD,-63.08 USD,"1 739.45 USD
 (59 668 pips)","-352.00 USD
 (9 731 pips)",35 (128.30 USD),415.80 USD (21),0.51,35.00%,2.63%,16 hours ago,7.0,1 day,12.67,24 (11.01%),194 (88.99%),4.94,6.36 USD,9.83 USD,-8.59 USD,4 (-19.31 USD),-109.51 USD (2),7.37%,89.39%,0%,0.22 USD,109.51 USD (22.84%),7.26% (109.63 USD),9.06% (226.55 USD)
0,1334830,1 343,678 (50.48%),665 (49.52%),4 681.17 USD,-903.29 USD,"58 809.96 USD
 (4 648 365 pips)","-44 772.09 USD
 (3 505 963 pips)",16 (743.38 USD),4 989.27 USD (6),0.09,82.29%,95.99%,28 minutes ago,80.0,8 hours,3.54,282 (21.00%),1 061 (79.00%),1.31,10.45 USD,86.74 USD,-67.33 USD,15 (-3 969.74 USD),-3 969.74 USD (15),-15.62%,-100.00%,0%,6.20 USD,3 969.74 USD (35.96%),33.13% (3 969.74 USD),25.75% (2 048.89 USD)
0,1609987,1 395,916 (65.66%),479 (34.34%),2 586.87 EUR,-408.03 EUR,"53 584.07 EUR
 (248 404 pips)","-22 905.47 EUR
 (119 370 pips)",25 (166.01 EUR),2 611.05 EUR (4),0.05,1.74%,8.55%,17 hours ago,19.0,37 minutes,25.34,618 (44.30%),777 (55.70%),2.34,21.99 EUR,58.50 EUR,-47.82 EUR,12 (-285.48 EUR),-1 210.88 EUR (6),9.18%,111.40%,0%,91.10 EUR,1 210.88 EUR (3.90%),7.22% (637.13 EUR),0.56% (61.39 EUR)
0,939747,1 297,764 (58.90%),533 (41.09%),3 540.00 BRL,-1 680.00 BRL,"147 839.45 BRL
 (723 622 pips)","-109 362.44 BRL
 (608 477 pips)",39 (14 464.00 BRL),14 464.00 BRL (39),0.04,4.23%,0.00%,17 hours ago,17.0,2 hours,2.38,396 (30.53%),901 (69.47%),1.35,29.67 BRL,193.51 BRL,-205.18 BRL,18 (-7 544.00 BRL),-7 544.00 BRL (18),25.63%,311.03%,92%,1 174.00 BRL,16 198.00 BRL (50.21%),40.47% (1 350.00 BRL),12.82% (860.00 BRL)
0,1281184,1 332,739 (55.48%),593 (44.52%),50.73 EUR,-104.30 EUR,"3 320.99 EUR
 (35 341 pips)","-2 349.96 EUR
 (16 825 pips)",24 (17.19 EUR),119.59 EUR (22),0.12,14.27%,76.67%,9 hours ago,29.0,6 hours,5.93,508 (38.14%),824 (61.86%),1.41,0.73 EUR,4.49 EUR,-3.96 EUR,111 (-6.38 EUR),-142.68 EUR (4),20.70%,251.13%,93%,31.23 EUR,163.77 EUR (28.26%),36.50% (39.57 EUR),32.73% (248.89 EUR)
0,1333637,944,594 (62.92%),350 (37.08%),47.68 EUR,-68.17 EUR,"2 804.49 EUR
 (35 113 pips)","-2 086.00 EUR
 (17 977 pips)",26 (20.05 EUR),117.65 EUR (4),0.13,15.13%,68.01%,9 hours ago,31.0,9 hours,3.1,441 (46.72%),503 (53.28%),1.34,0.76 EUR,4.72 EUR,-5.96 EUR,23 (-27.70 EUR),-229.51 EUR (6),28.52%,346.09%,99%,0.18 EUR,232.00 EUR (30.07%),34.81% (180.20 EUR),34.33% (264.39 EUR)
0,1405177,255,167 (65.49%),88 (34.51%),102.73 USD,-108.35 USD,"2 886.79 USD
 (269 052 pips)","-2 047.14 USD
 (217 498 pips)",34 (126.79 USD),156.47 USD (3),0.22,100.00%,3.99%,2 days ago,3.0,14 days,3.97,123 (48.24%),132 (51.76%),1.41,3.29 USD,17.29 USD,-23.26 USD,5 (-86.85 USD),-156.06 USD (2),3.35%,40.68%,35%,0.00 USD,211.69 USD (24.60%),14.30% (211.69 USD),25.63% (239.41 USD)
0,1536071,1 276,929 (72.80%),347 (27.19%),71.74 USD,-145.24 USD,"4 392.13 USD
 (59 058 pips)","-3 268.49 USD
 (38 836 pips)",23 (26.58 USD),226.95 USD (11),0.16,27.31%,18.81%,5 hours ago,17.0,2 hours,3.81,565 (44.28%),711 (55.72%),1.34,0.88 USD,4.73 USD,-9.42 USD,7 (-19.21 USD),-148.13 USD (2),3.19%,38.71%,99%,0.24 USD,295.30 USD (36.03%),34.71% (299.98 USD),10.48% (27.46 USD)
0,829814,529,413 (78.07%),116 (21.93%),28.32 USD,-21.29 USD,"1 600.24 USD
 (24 329 pips)","-677.68 USD
 (8 048 pips)",23 (105.71 USD),143.03 USD (11),0.41,4.93%,89.31%,6 days ago,3.0,1 hour,13.52,356 (67.30%),173 (32.70%),2.36,1.74 USD,3.87 USD,-5.84 USD,5 (-1.42 USD),-32.07 USD (4),-0.65%,-7.88%,76%,0.30 USD,68.23 USD (5.80%),11.69% (25.61 USD),11.29% (40.99 USD)
0,951062,4 677,3 071 (65.66%),1 606 (34.34%),45.41 USD,-120.52 USD,"5 542.04 USD
 (200 242 pips)","-4 351.22 USD
 (124 084 pips)",23 (63.32 USD),168.82 USD (11),0.1,36.83%,29.16%,7 hours ago,38.0,7 hours,3.09,2 286 (48.88%),2 391 (51.12%),1.27,0.25 USD,1.80 USD,-2.71 USD,12 (-12.12 USD),-136.68 USD (3),-12.31%,-100.00%,99%,0.21 USD,384.85 USD (21.93%),34.00% (187.85 USD),23.67% (111.79 USD)
0,1193119,3 060,2 779 (90.81%),281 (9.18%),27.92 USD,-27.56 USD,"2 957.32 USD
 (115 045 pips)","-2 273.39 USD
 (61 218 pips)",152 (50.74 USD),99.60 USD (19),0.13,26.22%,38.45%,2 hours ago,72.0,7 hours,7.96,1 520 (49.67%),1 540 (50.33%),1.3,0.22 USD,1.06 USD,-8.09 USD,6 (-13.78 USD),-61.18 USD (3),12.70%,154.07%,99%,26.80 USD,85.89 USD (20.79%),27.14% (27.43 USD),14.15% (16.43 USD)
0,910374,332,264 (79.51%),68 (20.48%),122.75 USD,-39.08 USD,"1 510.00 USD
 (69 028 pips)","-482.18 USD
 (22 605 pips)",28 (56.15 USD),222.54 USD (25),0.28,40.98%,37.23%,2 days ago,4.0,2 days,11.04,175 (52.71%),157 (47.29%),3.13,3.10 USD,5.72 USD,-7.09 USD,4 (-91.15 USD),-91.15 USD (4),3.25%,39.47%,98%,0.04 USD,93.08 USD (15.25%),15.13% (92.62 USD),52.04% (254.55 USD)
0,1203295,373,242 (64.87%),131 (35.12%),54.28 USD,-61.54 USD,"1 377.39 USD
 (28 417 pips)","-958.53 USD
 (16 743 pips)",15 (100.52 USD),102.09 USD (9),0.17,6.19%,55.42%,1 hour ago,12.0,7 hours,3.47,196 (52.55%),177 (47.45%),1.44,1.12 USD,5.69 USD,-7.32 USD,5 (-19.36 USD),-108.14 USD (4),-21.75%,-100.00%,100%,13.36 USD,120.72 USD (19.81%),29.46% (120.61 USD),33.35% (132.38 USD)
0,1115903,4 099,2 898 (70.70%),1 201 (29.30%),130.92 USD,-329.31 USD,"23 739.05 USD
 (160 326 pips)","-16 252.85 USD
 (149 377 pips)",40 (150.20 USD),1 125.16 USD (35),0.13,26.66%,77.37%,6 hours ago,33.0,3 hours,6.21,1 355 (33.06%),2 744 (66.94%),1.46,1.83 USD,8.19 USD,-13.53 USD,17 (-385.27 USD),-1 183.63 USD (9),4.06%,49.23%,98%,25.87 USD,1 205.57 USD (13.48%),18.73% (1 201.39 USD),23.44% (736.64 USD)
0,1248180,1 316,960 (72.94%),356 (27.05%),14.49 EUR,-65.44 EUR,"3 419.28 EUR
 (56 009 pips)","-2 754.20 EUR
 (33 197 pips)",17 (44.99 EUR),74.85 EUR (14),0.11,28.31%,36.36%,7 hours ago,24.0,2 hours,5.96,646 (49.09%),670 (50.91%),1.24,0.51 EUR,3.56 EUR,-7.74 EUR,5 (-46.00 EUR),-65.44 EUR (1),5.42%,65.82%,99%,8.34 EUR,111.58 EUR (13.76%),20.83% (106.26 EUR),14.47% (68.82 EUR)
0,1449820,363,276 (76.03%),87 (23.97%),178.22 USD,-110.10 USD,"4 833.59 USD
 (470 595 pips)","-2 288.61 USD
 (216 769 pips)",21 (350.87 USD),350.87 USD (21),0.3,38.31%,47.04%,57 minutes ago,18.0,7 hours,9.24,138 (38.02%),225 (61.98%),2.11,7.01 USD,17.51 USD,-26.31 USD,4 (-245.11 USD),-245.11 USD (4),25.06%,304.09%,68%,13.68 USD,275.31 USD (12.93%),11.81% (279.79 USD),38.80% (822.98 USD)
0,1274869,442,344 (77.82%),98 (22.17%),36.15 EUR,-40.52 EUR,"1 495.77 EUR
 (18 756 pips)","-905.33 EUR
 (7 887 pips)",22 (79.27 EUR),137.01 EUR (19),0.3,8.74%,47.00%,9 hours ago,5.0,3 hours,4.92,238 (53.85%),204 (46.15%),1.65,1.34 EUR,4.35 EUR,-9.24 EUR,6 (-45.44 EUR),-51.61 EUR (3),3.31%,40.21%,77%,0.06 EUR,119.89 EUR (16.05%),12.95% (119.75 EUR),14.78% (102.62 EUR)
0,1598419,306,177 (57.84%),129 (42.16%),1 793.00 USD,-1 894.46 USD,"21 046.44 USD
 (225 772 pips)","-13 573.13 USD
 (76 897 pips)",14 (357.58 USD),2 352.07 USD (9),0.12,47.07%,5.87%,20 hours ago,5.0,3 days,2.56,193 (63.07%),113 (36.93%),1.55,24.42 USD,118.91 USD,-105.22 USD,20 (-40.08 USD),-1 894.46 USD (1),3.20%,38.89%,1%,0.00 USD,2 914.70 USD (34.42%),21.64% (2 914.70 USD),12.62% (912.23 USD)
0,1248169,888,659 (74.21%),229 (25.79%),26.06 EUR,-77.64 EUR,"2 971.49 EUR
 (37 859 pips)","-2 181.27 EUR
 (25 802 pips)",26 (78.19 EUR),86.32 EUR (7),0.11,15.49%,98.80%,1 hour ago,25.0,2 hours,5.11,392 (44.14%),496 (55.86%),1.36,0.89 EUR,4.51 EUR,-9.53 EUR,7 (-44.90 EUR),-104.83 EUR (3),20.91%,253.75%,99%,26.17 EUR,154.75 EUR (13.24%),30.32% (150.40 EUR),17.65% (92.31 EUR)
0,1481291,159,99 (62.26%),60 (37.74%),4 400.35 USD,-1 801.20 USD,"54 361.37 USD
 (719 168 pips)","-22 246.87 USD
 (238 649 pips)",19 (1 467.62 USD),13 108.20 USD (5),0.21,43.13%,10.69%,5 days ago,7.0,21 hours,6.14,81 (50.94%),78 (49.06%),2.44,201.98 USD,549.10 USD,-370.78 USD,5 (-2 245.20 USD),-3 292.78 USD (4),34.93%,424.40%,0%,815.15 USD,5 228.42 USD (36.28%),36.28% (5 228.42 USD),40.85% (13 278.38 USD)
0,1557243,174,50 (28.73%),124 (71.26%),413.25 USD,-154.40 USD,"5 298.83 USD
 (870 190 pips)","-3 558.38 USD
 (542 446 pips)",4 (35.63 USD),413.25 USD (1),0.15,36.78%,3.59%,30 minutes ago,8.0,9 hours,1.98,87 (50.00%),87 (50.00%),1.49,10.00 USD,105.98 USD,-28.70 USD,22 (-605.59 USD),-605.59 USD (22),-0.99%,-12.05%,98%,73.98 USD,876.86 USD (28.95%),32.22% (876.86 USD),2.47% (50.55 USD)
0,1210676,2 809,2 040 (72.62%),769 (27.38%),2 097.05 USD,-1 667.41 USD,"75 660.85 USD
 (141 922 pips)","-53 207.39 USD
 (83 317 pips)",113 (4 973.77 USD),7 226.72 USD (59),0.19,40.31%,68.72%,10 minutes ago,32.0,8 hours,3.84,1 083 (38.55%),1 726 (61.45%),1.42,7.99 USD,37.09 USD,-69.19 USD,31 (-2 123.60 USD),-2 378.84 USD (24),31.92%,390.05%,96%,63.38 USD,5 854.08 USD (37.01%),21.25% (6 014.52 USD),37.20% (10 228.40 USD)
0,1443629,214,92 (42.99%),122 (57.01%),246.45 USD,-77.78 USD,"5 887.47 USD
 (49 481 pips)","-4 452.13 USD
 (32 739 pips)",10 (339.69 USD),609.73 USD (7),0.14,23.95%,14.93%,10 minutes ago,19.0,4 hours,2.02,117 (54.67%),97 (45.33%),1.32,6.71 USD,63.99 USD,-36.49 USD,12 (-221.61 USD),-303.50 USD (4),41.19%,499.73%,98%,32.73 USD,711.02 USD (38.37%),38.36% (710.73 USD),5.60% (103.65 USD)
0,1224709,771,518 (67.18%),253 (32.81%),78.02 USD,-61.58 USD,"2 915.36 USD
 (202 424 pips)","-2 124.27 USD
 (104 392 pips)",19 (147.20 USD),147.20 USD (19),0.1,43.79%,60.60%,5 days ago,1.0,5 hours,3.48,314 (40.73%),457 (59.27%),1.37,1.03 USD,5.63 USD,-8.40 USD,7 (-60.46 USD),-125.34 USD (6),3.81%,46.25%,0%,0.11 USD,227.26 USD (25.34%),43.50% (227.19 USD),45.32% (174.58 USD)
0,1457178,114,99 (86.84%),15 (13.16%),166.82 USD,-539.66 USD,"2 594.02 USD
 (14 839 pips)","-1 572.03 USD
 (9 851 pips)",22 (485.29 USD),485.29 USD (22),0.16,16.15%,16.86%,2 days ago,6.0,7 hours,1.6,63 (55.26%),51 (44.74%),1.65,8.96 USD,26.20 USD,-104.80 USD,3 (-520.74 USD),-539.66 USD (1),17.03%,206.68%,96%,0.00 USD,640.04 USD (23.16%),35.35% (539.66 USD),32.51% (496.28 USD)
0,1431540,449,253 (56.34%),196 (43.65%),43.03 USD,-32.48 USD,"2 345.34 USD
 (128 567 pips)","-1 325.24 USD
 (52 185 pips)",17 (58.49 USD),141.92 USD (13),0.26,49.19%,5.33%,11 minutes ago,28.0,11 hours,3.38,170 (37.86%),279 (62.14%),1.77,2.27 USD,9.27 USD,-6.76 USD,7 (-78.45 USD),-90.87 USD (4),-1.76%,-21.39%,0%,2.77 USD,301.53 USD (18.41%),18.40% (301.42 USD),37.00% (245.11 USD)
0,1392089,574,494 (86.06%),80 (13.94%),115.92 USD,-169.60 USD,"1 819.42 USD
 (43 021 pips)","-954.16 USD
 (16 750 pips)",39 (258.02 USD),258.02 USD (39),0.18,47.21%,56.06%,18 hours ago,13.0,20 hours,4.57,261 (45.47%),313 (54.53%),1.91,1.51 USD,3.68 USD,-11.93 USD,7 (-12.71 USD),-177.88 USD (2),12.78%,155.08%,99%,0.00 USD,189.28 USD (17.79%),23.06% (118.07 USD),19.51% (46.78 USD)
0,1452696,670,523 (78.05%),147 (21.94%),42.60 USD,-47.95 USD,"661.83 USD
 (66 655 pips)","-421.45 USD
 (43 206 pips)",28 (23.63 USD),42.60 USD (1),0.12,84.56%,29.51%,5 hours ago,28.0,18 hours,3.34,333 (49.70%),337 (50.30%),1.57,0.36 USD,1.27 USD,-2.87 USD,4 (-18.43 USD),-47.95 USD (1),14.97%,181.64%,99%,0.08 USD,71.90 USD (25.79%),25.80% (71.98 USD),36.08% (83.66 USD)
0,1196985,478,417 (87.23%),61 (12.76%),172.21 EUR,-398.23 EUR,"8 953.55 EUR
 (16 501 pips)","-6 608.71 EUR
 (8 960 pips)",55 (326.76 EUR),1 188.31 EUR (20),0.19,3.46%,26.39%,4 hours ago,6.0,3 hours,2.4,444 (92.89%),34 (7.11%),1.35,4.91 EUR,21.47 EUR,-108.34 EUR,3 (-538.34 EUR),-538.34 EUR (3),0.38%,4.60%,100%,36.89 EUR,977.40 EUR (27.31%),32.32% (297.83 EUR),6.40% (314.56 EUR)
0,1581477,172,95 (55.23%),77 (44.77%),90.50 USD,-51.16 USD,"586.84 USD
 (63 996 pips)","-727.44 USD
 (61 318 pips)",7 (22.83 USD),90.50 USD (1),0.04,94.30%,10.87%,2 days ago,2.0,1 day,-0.47,90 (52.33%),82 (47.67%),0.81,-0.82 USD,6.18 USD,-9.45 USD,5 (-174.79 USD),-174.79 USD (5),-27.55%,,0%,145.13 USD,300.19 USD (165.47%),29.99% (300.19 USD),27.00% (189.40 USD)
0,428416,4 415,2 911 (65.93%),1 504 (34.07%),624.00 BRL,-1 337.00 BRL,"199 263.07 BRL
 (311 009 pips)","-181 850.02 BRL
 (295 306 pips)",30 (3 010.00 BRL),3 010.00 BRL (30),0.05,2.73%,0.00%,11 hours ago,16.0,14 minutes,2.15,2 084 (47.20%),2 331 (52.80%),1.1,3.94 BRL,68.45 BRL,-120.91 BRL,15 (-630.00 BRL),-2 860.00 BRL (4),-6.43%,-77.96%,98%,0.00 BRL,8 117.96 BRL (29.02%),46.97% (6 800.97 BRL),44.44% (5 505.00 BRL)
0,630041,2 590,1 850 (71.42%),740 (28.57%),167.42 USD,-216.49 USD,"32 675.69 USD
 (105 747 pips)","-26 661.22 USD
 (67 259 pips)",27 (265.96 USD),539.11 USD (20),0.02,12.23%,58.19%,9 hours ago,37.0,2 hours,7.0,905 (34.94%),1 685 (65.06%),1.23,2.32 USD,17.66 USD,-36.03 USD,9 (-56.73 USD),-544.62 USD (5),-10.62%,-100.00%,96%,571.32 USD,858.88 USD (109.06%),29.93% (648.90 USD),19.49% (497.04 USD)
0,1594934,1 620,1 234 (76.17%),386 (23.83%),11.38 AUD,-26.51 AUD,"2 020.63 AUD
 (57 926 pips)","-1 559.15 AUD
 (40 229 pips)",29 (67.12 AUD),67.12 AUD (29),0.14,18.64%,47.05%,41 minutes ago,82.0,5 hours,1.79,709 (43.77%),911 (56.23%),1.3,0.28 AUD,1.64 AUD,-4.04 AUD,8 (-91.35 AUD),-91.35 AUD (8),-12.34%,-100.00%,99%,16.38 AUD,257.19 AUD (32.36%),29.34% (256.33 AUD),17.12% (129.59 AUD)
0,1279728,585,454 (77.60%),131 (22.39%),21.53 USD,-32.86 USD,"825.63 USD
 (26 191 pips)","-507.49 USD
 (12 806 pips)",20 (46.44 USD),82.39 USD (17),0.17,11.65%,59.36%,9 hours ago,8.0,2 hours,5.13,286 (48.89%),299 (51.11%),1.63,0.54 USD,1.82 USD,-3.87 USD,7 (-8.54 USD),-36.11 USD (2),10.92%,132.51%,78%,0.49 USD,62.06 USD (10.69%),14.39% (26.23 USD),15.64% (86.88 USD)
0,1473495,497,306 (61.56%),191 (38.43%),43.89 USD,-44.79 USD,"3 181.87 USD
 (853 383 pips)","-1 792.59 USD
 (476 747 pips)",15 (153.67 USD),162.36 USD (5),0.23,58.62%,12.03%,12 hours ago,18.0,1 day,7.68,246 (49.50%),251 (50.50%),1.78,2.80 USD,10.40 USD,-9.39 USD,10 (-168.20 USD),-168.20 USD (10),5.00%,60.64%,100%,18.31 USD,180.92 USD (8.96%),12.94% (181.44 USD),17.87% (250.06 USD)
0,884935,655,512 (78.16%),143 (21.83%),18.69 EUR,-18.83 EUR,"550.76 EUR
 (45 725 pips)","-263.31 EUR
 (14 422 pips)",36 (65.79 EUR),144.99 EUR (22),0.24,4.09%,45.16%,2 days ago,6.0,2 days,4.49,310 (47.33%),345 (52.67%),2.09,0.44 EUR,1.08 EUR,-1.84 EUR,17 (-5.50 EUR),-29.17 EUR (4),2.31%,28.05%,99%,4.15 EUR,64.08 EUR (15.43%),12.79% (64.04 EUR),20.01% (23.04 EUR)
0,1507561,33,17 (51.51%),16 (48.48%),60.50 USD,-55.20 USD,"848.13 USD
 (854 789 pips)","-490.88 USD
 (485 353 pips)",4 (185.46 USD),185.46 USD (4),0.29,77.82%,5.63%,5 days ago,4.0,3 days,3.41,15 (45.45%),18 (54.55%),1.73,10.83 USD,49.89 USD,-30.68 USD,4 (-102.84 USD),-104.74 USD (2),20.52%,,0%,44.43 USD,104.74 USD (35.99%),35.99% (104.74 USD),24.23% (77.33 USD)
0,1268981,854,644 (75.40%),210 (24.59%),7.11 USD,-17.04 USD,"1 830.96 USD
 (185 406 pips)","-692.18 USD
 (64 823 pips)",20 (82.02 USD),86.26 USD (17),0.4,8.97%,28.05%,2 days ago,27.0,2 hours,19.61,371 (43.44%),483 (56.56%),2.65,1.33 USD,2.84 USD,-3.30 USD,16 (-57.95 USD),-57.95 USD (16),11.12%,134.94%,100%,0.04 USD,58.07 USD (3.54%),4.32% (46.15 USD),20.10% (206.14 USD)
0,1513117,234,153 (65.38%),81 (34.62%),14.35 USD,-19.06 USD,"427.18 USD
 (100 186 pips)","-245.84 USD
 (64 989 pips)",9 (9.69 USD),34.58 USD (6),0.16,49.85%,46.14%,17 hours ago,14.0,1 day,4.67,114 (48.72%),120 (51.28%),1.74,0.77 USD,2.79 USD,-3.04 USD,6 (-29.40 USD),-29.40 USD (6),-1.37%,-16.67%,99%,21.18 USD,38.83 USD (12.88%),33.53% (37.24 USD),13.12% (18.67 USD)
0,1509660,168,155 (92.26%),13 (7.74%),26.30 USD,-25.49 USD,"253.69 USD
 (39 023 pips)","-87.67 USD
 (9 747 pips)",126 (216.31 USD),216.31 USD (126),0.21,100.00%,57.38%,1 hour ago,36.0,2 days,3.81,90 (53.57%),78 (46.43%),2.89,0.99 USD,1.64 USD,-6.74 USD,5 (-31.73 USD),-43.58 USD (2),22.46%,272.52%,0%,32.39 USD,43.58 USD (15.35%),32.53% (32.60 USD),5.36% (5.32 USD)
0,1359024,591,440 (74.45%),151 (25.55%),411.22 USD,-71.30 USD,"7 798.97 USD
 (84 682 pips)","-2 062.55 USD
 (37 400 pips)",33 (343.23 USD),883.40 USD (4),0.34,49.93%,12.72%,1 hour ago,29.0,20 hours,10.82,117 (19.80%),474 (80.20%),3.78,9.71 USD,17.72 USD,-13.66 USD,10 (-530.29 USD),-530.29 USD (10),18.12%,219.90%,100%,0.00 USD,530.29 USD (7.58%),7.58% (530.29 USD),44.04% (3 080.81 USD)
