,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Absolute,Maximal,By Balance,By Equity
0,1434707,146,124 (84.93%),22 (15.07%),1.08 USD,-2.99 USD,"42.24 USD
 (5 493 pips)","-20.09 USD
 (1 426 pips)",17 (5.04 USD),5.04 USD (17),0.42,7.18%,27.29%,6 hours ago,8.0,4 hours,4.05,124 (84.93%),22 (15.07%),2.1,0.15 USD,0.34 USD,-0.91 USD,4 (-2.26 USD),-2.99 USD (1),19.78%,239.98%,100%,0.04 USD,5.47 USD (14.79%),16.07% (5.43 USD),18.39% (6.20 USD)
0,1626983,809,636 (78.61%),173 (21.38%),134.96 USD,-33.16 USD,"880.20 USD
 (253 539 pips)","-604.93 USD
 (211 681 pips)",21 (226.57 USD),226.57 USD (21),0.05,82.33%,8.97%,6 minutes ago,281.0,4 hours,1.38,443 (54.76%),366 (45.24%),1.46,0.34 USD,1.38 USD,-3.50 USD,9 (-199.67 USD),-199.67 USD (9),9.18%,,99%,1.34 USD,199.67 USD (6.16%),6.16% (199.67 USD),19.44% (628.41 USD)
0,1466961,257,253 (98.44%),4 (1.56%),12.07 USD,-93.98 USD,"757.09 USD
 (85 096 pips)","-115.43 USD
 (13 051 pips)",110 (342.24 USD),342.24 USD (110),0.41,100.00%,50.93%,1 hour ago,21.0,3 days,6.81,171 (66.54%),86 (33.46%),6.56,2.50 USD,2.99 USD,-28.86 USD,1 (-93.98 USD),-93.98 USD (1),3.12%,37.85%,0%,0.40 USD,94.18 USD (1.67%),1.84% (94.02 USD),20.73% (1 077.99 USD)
0,1662288,169,130 (76.92%),39 (23.08%),27.08 USD,-9.25 USD,"445.87 USD
 (35 469 pips)","-73.03 USD
 (5 217 pips)",19 (73.24 USD),109.10 USD (11),0.55,100.00%,0.86%,1 hour ago,21.0,1 day,20.98,30 (17.75%),139 (82.25%),6.11,2.21 USD,3.43 USD,-1.87 USD,3 (-17.49 USD),-17.49 USD (3),5.42%,65.75%,99%,4.58 USD,17.77 USD (1.35%),1.34% (17.70 USD),0.68% (9.29 USD)
0,1571704,744,517 (69.48%),227 (30.51%),2 678.77 EUR,-19 635.13 EUR,"108 902.73 EUR
 (595 303 pips)","-70 630.06 EUR
 (98 238 pips)",15 (7 472.22 EUR),9 805.90 EUR (10),0.06,39.67%,12.59%,20 hours ago,26.0,4 hours,1.14,417 (56.05%),327 (43.95%),1.54,51.44 EUR,210.64 EUR,-311.15 EUR,10 (-18 716.29 EUR),-19 635.13 EUR (1),35.48%,,99%,13 680.68 EUR,33 601.96 EUR (21.01%),21.01% (33 601.96 EUR),19.84% (23 795.96 EUR)
0,748852,1 361,1 274 (93.60%),87 (6.39%),481.70 USD,-255.06 USD,"7 472.29 USD
 (73 968 pips)","-3 718.16 USD
 (34 583 pips)",76 (76.24 USD),670.26 USD (47),0.15,27.99%,19.69%,3 hours ago,37.0,12 hours,9.34,806 (59.22%),555 (40.78%),2.01,2.76 USD,5.87 USD,-42.74 USD,2 (-325.50 USD),-325.50 USD (2),8.62%,104.54%,100%,0.04 USD,402.09 USD (9.64%),7.07% (32.73 USD),66.12% (4 073.92 USD)
0,828039,1 468,1 383 (94.20%),85 (5.79%),13 170.00 BRL,-14 725.00 BRL,"405 733.73 BRL
 (5 503 035 pips)","-127 308.35 BRL
 (4 287 880 pips)",145 (24 065.85 BRL),36 789.35 BRL (106),0.18,99.55%,124.57%,19 hours ago,27.0,29 days,8.73,1 333 (90.80%),135 (9.20%),3.19,189.66 BRL,293.37 BRL,-1 497.75 BRL,16 (-326.35 BRL),-31 890.00 BRL (3),2.88%,34.89%,0%,0.00 BRL,31 890.00 BRL (4.71%),4.71% (31 890.00 BRL),25.62% (207 779.17 BRL)
0,1655943,20,17 (85.00%),3 (15.00%),5.25 USD,-4.72 USD,"26.83 USD
 (2 901 pips)","-8.78 USD
 (877 pips)",11 (7.25 USD),12.71 USD (4),0.42,56.67%,7.84%,10 hours ago,20.0,5 hours,2.61,13 (65.00%),7 (35.00%),3.06,0.90 USD,1.58 USD,-2.93 USD,2 (-6.88 USD),-6.88 USD (2),3.47%,,0%,0.06 USD,6.92 USD (1.30%),1.29% (6.90 USD),0.98% (5.18 USD)
0,889717,1 725,1 332 (77.21%),393 (22.78%),8 947.21 USD,-3 130.54 USD,"226 773.72 USD
 (949 288 pips)","-72 204.96 USD
 (566 765 pips)",76 (10 011.58 USD),10 389.71 USD (11),0.13,80.15%,95.83%,2 hours ago,10.0,2 days,28.07,978 (56.70%),747 (43.30%),3.14,89.61 USD,170.25 USD,-183.73 USD,7 (-2 625.74 USD),-3 488.26 USD (3),2.10%,25.50%,82%,18.80 USD,5 507.03 USD (3.48%),9.44% (5 507.03 USD),68.72% (16 812.44 USD)
0,1562769,66,63 (95.45%),3 (4.55%),16.48 USD,-9.03 USD,"334.35 USD
 (30 724 pips)","-20.61 USD
 (1 608 pips)",40 (275.36 USD),275.36 USD (40),1.02,100.00%,24.77%,8 hours ago,8.0,5 days,33.77,34 (51.52%),32 (48.48%),16.22,4.75 USD,5.31 USD,-6.87 USD,1 (-9.03 USD),-9.03 USD (1),1.64%,19.91%,0%,0.97 USD,9.29 USD (0.90%),0.90% (9.29 USD),26.86% (281.33 USD)
0,1610239,110,71 (64.54%),39 (35.45%),31.03 AUD,-1.06 AUD,"41.19 AUD
 (8 223 pips)","-6.55 AUD
 (5 472 pips)",6 (1.23 AUD),31.22 AUD (3),0.11,75.22%,1.44%,3 hours ago,44.0,10 hours,18.43,46 (41.82%),64 (58.18%),6.29,0.31 AUD,0.58 AUD,-0.17 AUD,4 (-1.43 AUD),-1.43 AUD (4),2.56%,,100%,0.04 AUD,1.88 AUD (0.14%),0.14% (1.87 AUD),0.40% (5.32 AUD)
0,1647478,34,29 (85.29%),5 (14.71%),39.74 USD,-63.91 USD,"395.72 USD
 (3 703 pips)","-133.92 USD
 (1 058 pips)",11 (106.50 USD),106.50 USD (11),0.48,64.16%,0.65%,1 hour ago,30.0,10 hours,4.04,17 (50.00%),17 (50.00%),2.95,7.70 USD,13.65 USD,-26.78 USD,1 (-63.91 USD),-63.91 USD (1),1.38%,,88%,1.38 USD,64.86 USD (0.34%),0.34% (64.44 USD),0.96% (181.99 USD)
0,1503554,161,95 (59.00%),66 (40.99%),36.32 USD,-24.56 USD,"285.03 USD
 (955 988 pips)","-124.02 USD
 (688 057 pips)",9 (17.40 USD),39.69 USD (3),0.23,24.34%,9.42%,7 days ago,1.0,9 hours,4.82,116 (72.05%),45 (27.95%),2.3,1.00 USD,3.00 USD,-1.88 USD,7 (-26.13 USD),-33.37 USD (2),1.02%,12.90%,100%,0.00 USD,33.37 USD (2.88%),2.82% (33.37 USD),6.80% (70.63 USD)
