Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2022.08.16 14:59:12;Balance;;;;;;;;-125.81
2022.07.29 18:57:41;Correction;;;;;;;;164.88
2022.07.29 11:12:59;Balance;;;;;;;;-168.68
2022.06.30 14:34:05;Sell;8;BR-8.22;110.555;2022.07.29 10:56:50;108.37;;;11680.959999999997
2022.07.26 18:57:04;Correction;;;;;;;;175.85
2022.07.26 17:28:05;Balance;;;;;;;;-0.72
2022.07.26 16:58:28;Balance;;;;;;;;88.27
2022.07.26 13:58:19;Balance;;;;;;;;-264.89
2022.06.09 10:24:32;Buy;3;NG-7.22;7.013333333333334;2022.07.26 13:44:51;8;-2.37;;18773.940000000002
2022.07.21 18:59:50;Correction;;;;;;;;1444.15
2022.07.21 17:40:07;Balance;;;;;;;;-1444.39
2022.07.19 18:57:59;Correction;;;;;;;;176.6
2022.07.19 16:17:14;Balance;;;;;;;;-2.4
2022.07.19 14:53:51;Balance;;;;;;;;-2.4
2022.07.19 14:44:46;Balance;;;;;;;;-178.8
2022.07.18 18:58:01;Correction;;;;;;;;456.28
2022.07.18 16:15:54;Balance;;;;;;;;-0.48
2022.07.18 16:05:42;Balance;;;;;;;;-0.96
2022.07.18 15:28:51;Balance;;;;;;;;-0.24
2022.07.18 14:52:09;Balance;;;;;;;;-279.15
2022.07.18 10:10:12;Balance;;;;;;;;-177.57
2022.07.01 18:57:24;Correction;;;;;;;;-0.02
2022.07.01 10:16:23;Balance;;;;;;;;-0.24
2022.06.30 19:00:15;Correction;;;;;;;;290.46
2022.06.30 14:39:54;Balance;;;;;;;;-292.38
2022.05.31 14:37:59;Sell;4;BR-7.22;119.36;2022.06.30 14:34:26;115.69;-12.8;;7710.119999999997
2022.06.30 11:42:09;Balance;;;;;;;;-0.24
2022.06.30 10:59:11;Balance;;;;;;;;-0.24
2022.06.24 18:56:58;Correction;;;;;;;;179.1
2022.06.24 17:38:37;Balance;;;;;;;;-0.96
2022.06.24 16:13:36;Balance;;;;;;;;-0.24
2022.06.24 16:08:45;Balance;;;;;;;;-179.32
2022.06.21 18:56:54;Correction;;;;;;;;282.17
2022.06.21 18:19:13;Balance;;;;;;;;-1.44
2022.06.21 16:35:40;Balance;;;;;;;;-0.96
2022.06.21 16:14:53;Balance;;;;;;;;-0.96
2022.06.21 15:33:50;Balance;;;;;;;;-0.48
2022.06.21 14:59:35;Balance;;;;;;;;-282.86
2022.06.17 18:57:48;Correction;;;;;;;;579.29
2022.06.17 17:43:53;Balance;;;;;;;;-579.27
2022.06.17 10:55:40;Balance;;;;;;;;-12
2022.06.15 18:57:24;Correction;;;;;;;;1118.53
2022.06.15 17:40:42;Balance;;;;;;;;-19.2
2022.03.29 11:16:46;Buy;40;MAIL-6.22;3237.75;2022.06.15 17:26:29;3019;-1.79;;-8750.18
2022.06.15 14:15:40;Balance;;;;;;;;-0.96
2022.06.15 14:08:38;Balance;;;;;;;;-1058.48
2022.06.15 13:59:25;Balance;;;;;;;;-87.45
2022.03.16 10:56:38;Buy;5;ED-6.22;1.0816200000000002;2022.06.15 13:56:48;1.04728;-9.34;;-12708.019999999993
2022.06.15 13:50:37;Balance;;;;;;;;-21.36
2022.03.29 10:31:24;Buy;100;VTBR-6.22;1800.6;2022.06.15 13:49:31;1775;-6.160000000000001;;-2559.850000000004
2022.06.15 13:28:36;Balance;;;;;;;;-2.4
