Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2022.08.08 18:59:59;Buy;0.03;EURUSD;1.01873;2022.08.12 14:04:18;1.02571;;-0.83;20.94
2022.08.01 23:08:26;Sell;0.03;EURUSD;1.02661;2022.08.04 15:23:48;1.02344;;0.36;9.51
2022.08.03 11:05:43;Sell;0.03;EURUSD;1.01974;2022.08.03 11:05:53;1.01974;;;0
2022.07.22 13:44:15;Sell;0.03;EURUSD;1.02021;2022.07.27 18:54:16;1.02085;;0.27;-1.92
2022.07.21 07:51:13;Buy;0.03;EURUSD;1.01932;2022.07.21 13:26:55;1.0167;;;-7.86
2022.07.18 19:44:58;Buy;0.03;EURUSD;1.01416;2022.07.20 17:38:54;1.01616;;-0.28;6
2022.06.30 15:27:05;Sell;0.03;EURUSD;1.04621;2022.07.08 13:38:11;1.01727;;0.72;86.82
2022.06.27 12:23:19;Buy;0.01;EURUSD;1.05661;2022.06.27 14:54:15;1.05961;;;3
2022.06.27 03:00:00;Buy;0.01;EURUSD;1.05567;2022.06.27 07:55:17;1.05867;;;3
2022.06.23 00:00:37;Sell;0.02;EURUSD;1.05655;2022.06.24 09:26:56;1.05469;;0.06;3.7199999999999998
2022.06.22 08:21:01;Sell;0.02;EURUSD;1.05084;2022.06.22 14:51:13;1.06003;;;-18.38
2022.06.17 07:28:15;Sell;0.02;EURUSD;1.05231;2022.06.20 09:12:48;1.05455;;0.06;-4.48
2022.06.15 12:11:46;Buy;0.02;EURUSD;1.04291;2022.06.17 06:51:14;1.05003;;-0.37;14.24
2022.06.09 10:22:19;Sell;0.02;EURUSD;1.07204;2022.06.15 08:44:26;1.04974;;0.24;44.6
2022.06.03 10:15:39;Buy;0.02;EURUSD;1.07406;2022.06.07 13:13:24;1.06518;;-0.2;-17.76
2022.05.26 09:54:34;Sell;0.02;EURUSD;1.06978;2022.06.02 15:08:54;1.0728;;0.43;-6.04
2022.05.18 00:00:16;Sell;0.02;EURUSD;1.05504;2022.05.19 13:45:14;1.0562;;0.18;-2.32
2022.05.09 07:10:55;Sell;0.02;EURUSD;1.05101;2022.05.17 00:48:20;1.04504;;0.49;11.94
2022.05.06 00:14:27;Buy;0.02;EURUSD;1.0534;2022.05.09 06:53:25;1.04987;;-0.09;-7.06
2022.05.04 01:13:22;Buy;0.02;EURUSD;1.05191;2022.05.05 14:13:42;1.0541;;-0.28;4.38
2022.04.29 17:20:34;Sell;0.1;EURUSD;1.05712;2022.05.02 07:00:22;1.05547;;0.31;16.5
2022.04.29 11:00:00;Buy;0.1;EURUSD;1.05649;2022.04.29 11:48:44;1.05431;;;-21.8
2022.04.21 00:14:14;Buy;0.07;EURUSD;1.08467;2022.04.21 11:19:37;1.08859;;;27.44
2022.04.19 23:57:37;Sell;0.07;EURUSD;1.07942;2022.04.20 08:34:58;1.08238;;;-20.72
2022.04.15 14:51:52;Buy;0.07;EURUSD;1.08069;2022.04.18 16:10:25;1.07769;;-0.34;-21
2022.04.07 06:26:45;Sell;0.07;EURUSD;1.09264;2022.04.10 21:05:00;1.09154;;0.44;7.7
2022.04.05 23:00:00;Sell;0.07;EURUSD;1.09064;2022.04.06 12:39:40;1.09368;;;-21.28
2022.03.23 07:14:10;Buy;0.08;EURUSD;1.10235;2022.03.23 09:42:27;1.0996299999999999;;;-21.76
2022.03.17 08:01:56;Sell;0.08;EURUSD;1.10466;2022.03.17 13:57:54;1.10686;;;-17.6
2022.03.16 07:36:50;Buy;0.08;EURUSD;1.09634;2022.03.16 14:42:28;1.09953;;;25.52
2022.03.14 20:44:57;Buy;0.08;EURUSD;1.09433;2022.03.15 13:43:54;1.09743;;-0.39;24.8
2022.03.11 07:55:59;Buy;0.08;EURUSD;1.09888;2022.03.11 09:36:22;1.09618;;;-21.6
2022.03.08 23:13:49;Buy;0.09;EURUSD;1.08957;2022.03.09 11:28:32;1.09473;;;46.44
2022.03.08 06:46:03;Buy;0.09;EURUSD;1.08546;2022.03.08 09:19:10;1.0876;;;19.26
2022.03.07 12:46:13;Sell;0.09;EURUSD;1.08919;2022.03.07 13:39:13;1.09152;;;-20.97
2022.03.07 12:27:36;Sell;0.09;EURUSD;1.08845;2022.03.07 12:33:58;1.09105;;;-23.4
2022.03.04 17:59:59;Sell;0.09;EURUSD;1.09252;2022.03.07 03:27:26;1.08662;;0.29;53.1
2022.03.02 12:57:58;Sell;0.09;EURUSD;1.11187;2022.03.02 16:31:16;1.11022;;;14.85
2022.03.01 01:00:00;Buy;0.09;EURUSD;1.12065;2022.03.01 10:09:07;1.11884;;;-16.29
2022.02.23 02:01:26;Sell;0.09;EURUSD;1.13352;2022.02.23 09:59:00;1.13592;;;-21.6
2022.02.18 10:51:51;Buy;0.04;EURUSD;1.1363;2022.02.20 23:31:28;1.1313;;-0.2;-20
2022.02.17 03:54:57;Buy;0.04;EURUSD;1.13696;2022.02.17 08:20:07;1.13845;;;5.96
2022.02.16 23:45:19;Buy;0.04;EURUSD;1.13683;2022.02.17 02:10:47;1.13829;;;5.84
2022.02.16 12:53:19;Buy;0.04;EURUSD;1.13677;2022.02.16 19:05:03;1.13823;;;5.84
2022.02.15 00:07:15;Sell;0.08;EURUSD;1.13092;2022.02.15 08:10:07;1.13357;;;-21.2
2022.02.14 03:17:27;Buy;0.08;EURUSD;1.13434;2022.02.14 08:32:34;1.13165;;;-21.52
2022.02.11 13:59:59;Buy;0.08;EURUSD;1.13914;2022.02.11 18:38:54;1.13654;;;-20.8
2022.02.11 02:16:50;Sell;0.08;EURUSD;1.14041;2022.02.11 12:26:38;1.14138;;;-7.76
2022.02.09 02:00:01;Sell;0.08;EURUSD;1.14224;2022.02.09 13:43:47;1.14458;;;-18.72
2022.01.28 07:01:38;Buy;0.17;EURUSD;1.11448;2022.02.01 16:43:34;1.1236;;-1.69;155.04
2022.01.25 01:09:19;Sell;0.17;EURUSD;1.1322;2022.01.25 20:56:33;1.13069;;;25.67
2022.01.24 07:27:53;Sell;0.17;EURUSD;1.13241;2022.01.24 18:07:35;1.13335;;;-15.98
2022.01.14 20:59:59;Sell;0.16;EURUSD;1.1414;2022.01.19 16:27:54;1.13577;;1.6099999999999999;90.08
2022.01.14 00:00:00;Sell;0.17;EURUSD;1.1456;2022.01.14 05:41:28;1.1482999999999999;;;-45.9
2022.01.13 03:20:15;Sell;0.17;EURUSD;1.14422;2022.01.13 08:03:25;1.14692;;;-45.9
2022.01.10 17:05:51;Sell;0.18;EURUSD;1.1332200000000001;2022.01.11 16:10:29;1.13558;;0.6;-42.48
2022.01.07 04:41:45;Sell;0.19;EURUSD;1.13016;2022.01.07 14:30:22;1.13286;;;-51.3
2022.01.05 20:15:24;Buy;0.19;EURUSD;1.13046;2022.01.06 18:43:11;1.12882;;-2.87;-31.16
2022.01.04 20:55:06;Buy;0.19;EURUSD;1.12822;2022.01.05 20:15:23;1.13032;;-0.95;39.9
2022.01.04 04:00:00;Buy;0.19;EURUSD;1.12985;2022.01.04 18:57:34;1.12797;;;-35.72
2022.01.02 22:06:52;Buy;0.2;EURUSD;1.13693;2022.01.03 02:58:24;1.13423;;;-54
2021.12.31 09:10:24;Sell;0.2;EURUSD;1.13213;2021.12.31 13:54:32;1.13483;;;-54
2021.12.23 15:20:16;Sell;0.2;EURUSD;1.13244;2021.12.29 13:37:19;1.13168;;2.68;15.2
2021.12.20 20:05:17;Buy;0.2;EURUSD;1.12744;2021.12.23 13:48:08;1.1299299999999999;;-5.02;49.8
2021.12.15 19:53:40;Sell;0.2;EURUSD;1.12672;2021.12.15 20:31:58;1.12942;;;-54
2021.12.13 23:00:01;Buy;0.2;EURUSD;1.12838;2021.12.14 15:41:38;1.12807;;;-6.2
2021.12.13 12:13:32;Sell;0.21;EURUSD;1.12795;2021.12.13 17:25:24;1.13065;;;-56.7
2021.12.10 13:30:20;Sell;0.22;EURUSD;1.12848;2021.12.10 16:06:40;1.13057;;;-45.98
2021.12.07 00:00:01;Buy;0.22;EURUSD;1.12843;2021.12.07 09:06:52;1.12573;;;-59.4
2021.12.03 10:12:31;Sell;0.23;EURUSD;1.13016;2021.12.03 13:30:24;1.13283;;;-61.41
2021.12.01 19:59:59;Buy;0.24;EURUSD;1.1318;2021.12.02 16:22:40;1.13051;;-3.62;-30.96
2021.11.30 01:00:00;Buy;0.22;EURUSD;1.12902;2021.11.30 15:36:31;1.13403;;;110.22
2021.11.24 04:50:08;Sell;0.22;EURUSD;1.12405;2021.11.25 12:32:02;1.12303;;2.18;22.44
2021.11.22 09:18:09;Sell;0.25;EURUSD;1.12835;2021.11.23 08:31:59;1.12697;;0.83;34.5
2021.11.17 08:24:25;Sell;0.25;EURUSD;1.13171;2021.11.18 02:09:21;1.1335899999999999;;2.5;-47
2021.11.09 03:04:56;Sell;0.18;EURUSD;1.1585;2021.11.17 06:44:54;1.1307;;4.85;500.4
2021.11.05 15:54:45;Sell;0.18;EURUSD;1.15555;2021.11.08 13:05:41;1.15826;;0.61;-48.78
2021.11.04 13:04:46;Sell;0.18;EURUSD;1.15643;2021.11.05 15:54:43;1.15571;;0.61;12.96
2021.11.01 00:00:00;Buy;0.18;EURUSD;1.1557;2021.11.03 13:23:19;1.15707;;-1.8599999999999999;24.66
2021.10.26 06:07:21;Sell;0.18;EURUSD;1.16056;2021.10.28 12:45:25;1.16259;;2.46;-36.54
2021.10.25 09:14:26;Buy;0.19;EURUSD;1.16443;2021.10.25 11:35:55;1.16173;;;-51.3
2021.10.21 12:36:14;Sell;0.2;EURUSD;1.16443;2021.10.25 03:23:16;1.16623;;1.37;-36
2021.10.14 12:11:14;Buy;0.21;EURUSD;1.16018;2021.10.18 06:02:15;1.15762;;-2.16;-53.76
2021.10.07 13:01:37;Buy;0.21;EURUSD;1.15534;2021.10.12 12:28:36;1.15442;;-3.24;-19.32
2021.10.06 00:00:01;Sell;0.2;EURUSD;1.15951;2021.10.07 11:39:25;1.15727;;2.04;44.8
2021.10.04 03:03:31;Buy;0.2;EURUSD;1.1593499999999999;2021.10.05 04:22:55;1.15968;;-1.03;6.6
2021.09.27 01:23:24;Sell;0.17;EURUSD;1.17232;2021.10.01 12:07:30;1.16063;;3.49;198.73
2021.09.23 07:30:46;Buy;0.18;EURUSD;1.17078;2021.09.24 12:58:33;1.17084;;-0.94;1.08
2021.09.21 07:03:43;Buy;0.19;EURUSD;1.17283;2021.09.22 18:00:01;1.17078;;-0.99;-38.95
2021.09.20 13:00:59;Sell;0.2;EURUSD;1.17138;2021.09.21 01:58:41;1.17388;;0.69;-50
2021.09.17 08:00:59;Buy;0.21;EURUSD;1.17727;2021.09.17 14:13:42;1.17477;;;-52.5
2021.09.16 17:01:04;Sell;0.22;EURUSD;1.17591;2021.09.17 07:13:31;1.17841;;0.76;-55
2021.09.16 00:04:39;Buy;0.23;EURUSD;1.18169;2021.09.16 06:58:39;1.17916;;;-58.19
2021.09.15 00:54:35;Sell;0.23;EURUSD;1.1806;2021.09.15 10:47:14;1.1831;;;-57.5
2021.09.14 01:01:03;Buy;0.24;EURUSD;1.18085;2021.09.14 19:05:19;1.18045;;;-9.6
2021.09.09 12:43:37;Buy;0.25;EURUSD;1.18212;2021.09.13 04:48:31;1.17953;;-2.62;-64.75
2021.09.08 14:22:09;Buy;0.01;EURUSD;1.18132;2021.09.08 14:27:14;1.18093;;;-0.39
2021.09.08 14:20:04;Buy;0.01;EURUSD;1.18165;2021.09.08 14:21:24;1.18115;;;-0.5
2021.09.08 13:29:59;Sell;0.01;EURUSD;1.1813500000000001;2021.09.08 13:31:34;1.18182;;;-0.47
2021.09.08 12:34:36;Buy;0.01;EURUSD;1.18262;2021.09.08 12:59:41;1.18213;;;-0.49
2021.09.08 07:09:11;Buy;0.01;EURUSD;1.18414;2021.09.08 07:13:12;1.1838;;;-0.34
2021.09.05 09:46:23;Balance;;;;;;;;1543.3
