Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.12 16:00:01;Sell;0.19;XAUUSD;1 793.68;1 792.57;1 763.79;2022.08.12 17:06:06;1 792.65;;;19.57;[sl]
2022.08.10 18:00:01;Sell;0.19;XAUUSD;1 801.88;1 799.81;1 771.76;2022.08.10 18:15:11;1 799.93;;;37.05;[sl]
2022.08.10 16:00:01;Sell;0.19;XAUUSD;1 797.65;1 795.09;1 767.81;2022.08.10 16:02:54;1 795.21;;;46.36;[sl]
2022.08.10 09:00:03;Buy;0.19;XAUUSD;1 789.32;1 790.49;1 818.39;2022.08.10 10:06:45;1 791.11;;;34.01;
2022.08.08 16:41:13;Buy Stop;0.01;XAUUSD;1 850.00;;;2022.08.08 16:43:35;1 781.67;;;;cancelled
2022.08.06 07:44:04;Balance;;;;;;;;;;0.00;
2022.07.28 03:00:01;Sell;0.19;XAUUSD;1 738.57;1 737.81;1 708.75;2022.07.28 03:32:47;1 737.81;;;14.44;[sl]
2022.07.27 12:00:01;Sell;0.19;XAUUSD;1 723.57;1 722.32;1 693.59;2022.07.27 12:53:42;1 722.34;;;23.37;[sl]
2022.07.21 18:00:01;Sell;0.19;XAUUSD;1 711.70;1 710.58;1 681.85;2022.07.21 18:25:21;1 710.67;;;19.57;[sl]
2022.07.19 14:00:01;Sell;0.19;XAUUSD;1 717.03;1 714.44;1 687.10;2022.07.19 14:59:12;1 714.44;;;49.21;[sl]
2022.07.14 17:00:01;Buy;0.19;XAUUSD;1 702.74;1 703.39;1 732.60;2022.07.14 17:20:48;1 703.39;;;12.35;[sl]
2022.07.14 14:00:01;Buy;0.19;XAUUSD;1 711.30;1 712.48;1 741.15;2022.07.14 14:12:30;1 712.45;;;21.85;[sl]
2022.07.13 16:00:01;Buy;0.19;XAUUSD;1 712.89;1 716.73;1 742.73;2022.07.13 16:05:22;1 716.66;;;71.63;[sl]
2022.07.12 23:00:05;Buy;0.19;XAUUSD;1 726.07;1 726.83;1 755.82;2022.07.13 04:11:58;1 726.78;;-0.40;13.49;[sl]
2022.07.12 21:00:01;Buy;0.19;XAUUSD;1 727.57;1 728.32;1 757.32;2022.07.12 22:02:22;1 728.24;;;12.73;[sl]
2022.07.12 08:00:05;Buy;0.19;XAUUSD;1 729.72;1 729.64;1 759.46;2022.07.12 09:01:01;1 729.39;;;-6.27;[sl]
2022.07.12 02:23:04;Buy Stop;0.19;EURUSD;1.10000;;;2022.07.12 02:24:45;1.00464;;;;cancelled
2022.07.07 23:10:11;Buy Stop;0.10;EURUSD;1.03200;;;2022.07.07 23:11:00;1.01609;;;;cancelled
2022.07.05 17:00:01;Buy;0.10;XAUUSD;1 784.54;1 754.90;1 814.90;2022.07.06 17:02:52;1 754.80;;-0.21;-297.40;[sl]
2022.07.05 14:00:03;Buy;0.10;XAUUSD;1 801.54;1 802.61;1 831.34;2022.07.05 15:18:08;1 802.59;;;10.50;[sl]
2022.07.04 09:10:35;Buy Stop;0.10;XAUUSD;1 852.00;;;2022.07.04 09:11:32;1 812.23;;;;cancelled
2022.07.01 14:00:03;Buy;0.19;XAUUSD;1 791.09;1 790.71;1 820.20;2022.07.01 14:01:50;1 790.67;;;-7.98;[sl]
2022.07.02 08:48:18;Balance;;;;;;;;;;0.00;
2022.07.02 08:48:16;Balance;;;;;;;;;;0.00;
2022.07.01 14:00:03;Buy;0.19;XAUUSD;1 791.09;1 790.71;1 820.20;2022.07.01 14:01:50;1 790.67;;;-7.98;[sl]
2022.06.30 13:00:01;Buy;0.19;XAUUSD;1 813.02;1 822.48;1 842.84;2022.06.30 15:42:45;1 822.00;;;170.62;[sl]
2022.06.30 00:43:19;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.30 00:43:56;1.04441;;;;cancelled
2022.06.28 15:08:46;Buy;0.19;EURUSD;1.05627;0.95614;;2022.06.29 22:25:36;1.04413;;-1.21;-230.66;
2022.06.28 15:48:04;Buy;0.19;EURUSD;1.05392;0.95396;;2022.06.29 22:25:32;1.04415;;-1.21;-185.63;
2022.06.29 09:10:59;Buy;0.19;EURUSD;1.04966;0.94956;;2022.06.29 22:25:15;1.04419;;;-103.93;
2022.06.29 14:00:01;Sell;0.19;XAUUSD;1 824.92;1 823.09;1 794.94;2022.06.29 16:44:38;1 823.10;;;34.58;[sl]
2022.06.29 11:00:05;Buy;0.19;XAUUSD;1 817.09;1 817.58;1 846.80;2022.06.29 12:19:46;1 817.57;;;9.12;[sl]
2022.06.28 17:00:04;Buy;0.19;XAUUSD;1 821.41;1 824.67;1 851.34;2022.06.28 17:24:26;1 824.51;;;58.90;[sl]
2022.06.27 18:36:24;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.27 18:36:55;1.06108;;;;cancelled
2022.06.27 05:00:05;Sell;0.07;XAUUSD;1 834.62;1 833.60;1 804.61;2022.06.27 15:04:53;1 833.64;;;6.86;[sl]
2022.06.27 04:14:34;Buy Stop;0.07;EURUSD;1.10000;;;2022.06.27 04:15:08;1.05611;;;;cancelled
2022.06.27 03:00:26;Buy Stop;0.07;EURUSD;1.10000;;;2022.06.27 03:00:53;1.05708;;;;cancelled
2022.06.27 02:00:01;Sell;0.06;XAUUSD;1 833.78;1 831.85;1 803.75;2022.06.27 02:45:02;1 831.88;;;11.40;[sl]
2022.06.24 08:24:08;Buy Stop;0.16;EURUSD;1.10000;;;2022.06.24 08:25:32;1.05392;;;;cancelled
2022.06.24 08:24:56;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.24 08:25:28;1.05395;;;;cancelled
2022.06.23 17:00:04;Sell;0.19;XAUUSD;1 844.25;1 843.41;1 814.41;2022.06.23 17:01:27;1 843.43;;;15.58;[sl]
2022.06.23 10:19:38;Buy;0.19;EURUSD;1.05401;0.95397;;2022.06.23 16:10:56;1.05229;;;-32.68;
2022.06.23 10:39:27;Buy;0.19;EURUSD;1.05025;0.95025;;2022.06.23 16:10:55;1.05231;;;39.14;
2022.06.22 04:41:46;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.22 04:45:22;1.05055;;;;cancelled
2022.06.22 04:36:30;Buy Stop;0.07;EURUSD;1.10000;;;2022.06.22 04:39:07;1.05074;;;;cancelled
2022.06.22 04:38:32;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.22 04:39:05;1.05073;;;;cancelled
2022.06.22 04:33:11;Buy Stop;0.18;EURUSD;1.10000;;;2022.06.22 04:33:28;1.05094;;;;cancelled
2022.06.22 00:16:12;Buy Stop;0.19;EURUSD;1.10000;;;2022.06.22 00:17:43;1.05391;;;;cancelled
2022.06.22 00:11:59;Buy Stop;0.20;EURUSD;1.10000;;;2022.06.22 00:12:36;1.05394;;;;cancelled
2022.06.21 22:00:01;Buy;0.19;XAUUSD;1 831.34;1 833.66;1 861.30;2022.06.21 23:36:44;1 833.65;;;43.89;[sl]
2022.06.21 21:50:20;Buy;0.19;EURUSD;1.05190;0.95191;;2022.06.21 22:01:13;1.05334;;;27.36;
2022.06.21 09:00:03;Buy;0.19;XAUUSD;1 835.34;1 838.34;1 865.12;2022.06.21 10:56:41;1 838.17;;;53.77;[sl]
2022.06.21 08:33:40;Buy;0.19;EURUSD;1.05165;0.95162;;2022.06.21 09:59:51;1.05304;;;26.41;
2022.06.20 21:04:07;Buy;0.19;EURUSD;1.05053;0.95050;;2022.06.21 02:48:54;1.05193;;-1.21;26.60;
2022.06.17 23:32:17;Buy Stop;0.19;XAUUSD;1 900.00;;;2022.06.17 23:33:25;1 840.58;;;;cancelled
2022.06.17 21:00:01;Buy;0.20;XAUUSD;1 837.35;1 838.82;1 867.22;2022.06.17 21:23:12;1 838.77;;;28.40;[sl]
2022.06.17 01:02:01;Sell;0.20;XAUUSD;1 855.29;1 852.80;1 825.07;2022.06.17 01:17:07;1 852.80;;;49.80;[sl]
2022.06.16 07:46:17;Buy Stop;0.20;EURUSD;1.05000;;;2022.06.16 07:47:49;1.04369;;;;cancelled
2022.06.15 23:00:00;Sell;0.19;EURUSD;1.04524;1.14541;;2022.06.16 04:48:02;1.04359;;-0.39;31.35;
2022.06.15 22:05:03;Sell;0.19;EURUSD;1.04331;1.14360;;2022.06.16 04:48:02;1.04359;;-0.39;-5.32;
2022.06.15 21:40:23;Sell;0.19;EURUSD;1.04345;1.14364;;2022.06.15 21:54:28;1.04214;;;24.89;
2022.06.15 15:00:04;Sell;0.19;XAUUSD;1 831.07;1 829.79;1 801.28;2022.06.15 15:22:54;1 829.86;;;22.99;[sl]
2022.06.15 10:47:55;Sell;0.19;EURUSD;1.04557;1.14531;;2022.06.15 14:47:40;1.04688;;;-24.89;
2022.06.15 12:00:01;Sell;0.19;EURUSD;1.04931;1.14939;;2022.06.15 14:47:39;1.04688;;;46.17;
2022.06.15 08:33:30;Sell;0.19;EURUSD;1.04482;1.14495;;2022.06.15 10:47:56;1.04570;;;-16.72;
2022.06.15 10:00:04;Sell;0.19;EURUSD;1.04721;1.14734;;2022.06.15 10:47:51;1.04547;;;33.06;
2022.06.14 22:00:00;Buy;0.19;XAUUSD;1 807.34;1 809.42;1 837.39;2022.06.14 22:37:25;1 809.42;;;39.52;[sl]
2022.06.14 18:56:54;Buy Stop;0.19;EURUSD;1.05000;;;2022.06.14 18:57:48;1.04127;;;;cancelled
2022.06.14 17:00:01;Buy;0.19;XAUUSD;1 816.34;1 817.13;1 846.28;2022.06.14 17:01:04;1 817.13;;;15.01;[sl]
2022.06.10 18:00:04;Sell;0.19;XAUUSD;1 856.13;1 854.54;1 826.12;2022.06.13 11:47:31;1 854.98;;-0.26;21.85;[sl]
2022.06.10 15:00:03;Buy;0.18;XAUUSD;1 834.42;1 843.51;1 864.40;2022.06.10 15:40:22;1 843.11;;;156.42;[sl]
2022.06.09 18:00:01;Buy;0.19;XAUUSD;1 842.79;1 845.45;1 872.67;2022.06.09 19:10:01;1 845.45;;;50.54;[sl]
2022.06.08 12:30:35;Sell;0.19;EURUSD;1.06988;1.16984;;2022.06.09 14:47:18;1.06915;;-0.39;13.87;
2022.06.07 21:31:47;Sell;0.20;EURUSD;1.07097;1.10093;;2022.06.08 03:54:27;1.06945;;-0.14;30.40;
2022.06.03 18:00:03;Buy;0.18;XAUUSD;1 858.22;1 827.95;1 887.95;2022.06.08 02:19:30;1 852.16;;-1.14;-109.08;
2022.06.02 15:50:58;Sell;0.20;EURUSD;1.07039;1.10029;;2022.06.06 17:20:51;1.07041;;-0.28;-0.40;
2022.06.03 21:00:02;Sell;0.20;EURUSD;1.07186;1.10188;;2022.06.06 17:20:49;1.07043;;-0.14;28.60;
2022.06.01 20:00:03;Sell;0.18;XAUUSD;1 847.70;1 846.55;1 817.60;2022.06.01 20:31:12;1 846.57;;;20.34;[sl]
2022.06.01 17:00:08;Sell;0.18;XAUUSD;1 845.09;1 843.28;1 814.49;2022.06.01 17:00:49;1 843.29;;;32.40;[sl]
2022.06.04 11:22:48;Balance;;;;;;;;;;0.00;
2022.06.04 11:22:46;Balance;;;;;;;;;;0.00;
2022.06.01 20:00:03;Sell;0.18;XAUUSD;1 847.70;1 846.55;1 817.60;2022.06.01 20:31:12;1 846.57;;;20.34;[sl]
2022.06.01 17:00:08;Sell;0.18;XAUUSD;1 845.09;1 843.28;1 814.49;2022.06.01 17:00:49;1 843.29;;;32.40;[sl]
2022.05.31 18:00:04;Buy;0.18;XAUUSD;1 845.57;1 845.88;1 875.61;2022.05.31 18:03:42;1 845.87;;;5.40;[sl]
2022.05.31 04:02:22;Buy;0.19;EURUSD;1.07433;1.04419;;2022.05.31 05:08:18;1.07580;;;27.93;
2022.05.30 03:00:24;Buy;0.17;XAUUSD;1 849.67;1 850.91;1 880.10;2022.05.30 03:31:13;1 850.87;;;20.40;[sl]
2022.05.27 13:54:59;Buy;0.19;EURUSD;1.07015;1.04005;;2022.05.27 14:42:28;1.07167;;;28.88;
2022.05.25 17:00:05;Buy;0.17;XAUUSD;1 849.53;1 850.35;1 879.62;2022.05.25 17:06:54;1 850.29;;;12.92;[sl]
2022.05.25 16:00:05;Buy;0.19;EURUSD;1.06515;1.03510;;2022.05.25 16:38:00;1.06672;;;29.83;
2022.05.25 11:11:40;Buy;0.19;EURUSD;1.06718;1.03692;;2022.05.25 16:38:00;1.06671;;;-8.93;
2022.05.24 17:00:05;Sell;0.17;XAUUSD;1 867.67;1 866.18;1 837.20;2022.05.24 17:07:45;1 866.21;;;24.82;[sl]
2022.05.20 21:27:35;Buy;0.18;EURUSD;1.05336;1.02342;;2022.05.20 22:01:05;1.05484;;;26.64;
2022.05.18 19:13:22;Buy;0.18;EURUSD;1.04830;1.01828;;2022.05.18 19:44:30;1.04974;;;25.92;
2022.05.18 12:53:16;Buy Stop;0.16;USDCAD;1.29000;;;2022.05.18 12:54:47;1.28339;;;;cancelled
2022.05.18 12:43:43;Buy Stop;0.18;USDCAD;1.29000;;;2022.05.18 12:45:47;1.28329;;;;cancelled
2022.05.18 12:44:58;Buy Stop;0.18;USDCAD;1.29000;;;2022.05.18 12:45:32;1.28343;;;;cancelled
2022.05.18 12:40:37;Buy Stop;0.18;USDCAD;1.29000;;;2022.05.18 12:42:15;1.28353;;;;cancelled
2022.05.17 22:00:04;Buy;0.18;XAUUSD;1 816.13;1 816.60;1 845.83;2022.05.17 22:46:48;1 816.52;;;7.02;[sl]
2022.05.17 19:00:03;Buy;0.18;XAUUSD;1 819.07;1 820.83;1 849.01;2022.05.17 19:29:48;1 820.81;;;31.32;[sl]
2022.05.16 11:17:50;Sell;0.20;EURUSD;1.04216;1.07226;;2022.05.16 14:18:59;1.04272;;;-11.20;
2022.05.16 10:28:22;Sell;0.20;EURUSD;1.04217;1.07226;;2022.05.16 11:09:29;1.04135;;;16.40;
2022.05.16 11:00:03;Buy;0.18;XAUUSD;1 793.62;1 794.55;1 823.23;2022.05.16 11:01:02;1 794.46;;;15.12;[sl]
2022.05.13 15:00:06;Buy;0.18;XAUUSD;1 814.01;1 815.60;1 844.05;2022.05.13 15:16:16;1 815.30;;;23.22;[sl]
2022.05.12 17:00:16;Buy;0.18;XAUUSD;1 839.95;1 841.27;1 869.25;2022.05.12 17:13:42;1 841.27;;;23.76;[sl]
2022.05.12 15:00:04;Buy;0.18;XAUUSD;1 842.72;1 843.44;1 872.58;2022.05.12 15:13:23;1 843.19;;;8.46;[sl]
2022.05.11 08:20:05;Sell;0.20;EURUSD;1.05437;1.08450;;2022.05.11 14:01:27;1.05443;;;-1.20;
2022.05.11 10:22:14;Sell;0.20;EURUSD;1.05592;1.08604;;2022.05.11 14:01:24;1.05446;;;29.20;
2022.05.09 09:00:03;Buy;0.18;XAUUSD;1 871.93;1 841.83;1 901.83;2022.05.10 18:55:10;1 841.67;;-0.38;-544.68;[sl]
2022.05.10 15:10:51;Buy;0.20;EURUSD;1.05499;1.02492;;2022.05.10 16:07:17;1.05634;;;27.00;
2022.05.07 13:09:56;Balance;;;;;;;;;;-269.00;
2022.05.07 11:55:59;Balance;;;;;;;;;;0.00;
2022.05.05 19:00:04;Buy;0.18;XAUUSD;1 874.90;1 876.29;1 904.84;2022.05.05 19:30:02;1 876.12;;;21.96;[sl]
2022.05.05 03:00:41;Sell;0.18;XAUUSD;1 893.90;1 892.86;1 864.13;2022.05.05 10:26:30;1 892.92;;;17.64;[sl]
2022.05.04 22:00:03;Sell;0.18;XAUUSD;1 886.56;1 885.58;1 856.26;2022.05.04 22:02:46;1 885.62;;;16.92;[sl]
2022.05.03 17:00:04;Sell;0.18;XAUUSD;1 870.83;1 870.31;1 840.78;2022.05.03 17:03:11;1 870.32;;;9.18;[sl]
2022.05.02 16:00:07;Buy;0.18;XAUUSD;1 862.16;1 862.59;1 891.76;2022.05.02 16:15:01;1 862.59;;;7.74;[sl]
2022.04.29 23:00:02;Buy;0.18;XAUUSD;1 897.05;1 898.59;1 926.54;2022.05.02 01:05:54;1 898.57;;-0.38;27.36;[sl]
