Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.12 01:01:02;Sell Stop;0.01;USDJPY.pro;131.733;131.991;129.210;2022.08.12 22:59:01;133.457;;;;cancelled
2022.08.11 21:55:16;Sell;0.01;EURNZD.pro;1.60507;1.60770;1.59030;2022.08.12 21:28:28;1.59029;-0.07;0.04;9.54;[tp]
2022.08.12 19:16:18;Buy Stop;0.01;USDJPY.pro;133.892;133.574;166.132;2022.08.12 20:59:01;133.457;;;;cancelled
2022.08.12 01:01:07;Sell Stop;0.01;USDJPY.pro;132.070;132.388;102.918;2022.08.12 20:59:01;133.452;;;;cancelled
2022.08.12 16:25:05;Buy Stop;0.01;USDJPY.pro;133.892;133.574;168.436;2022.08.12 20:59:00;133.457;;;;cancelled
2022.08.12 01:01:06;Sell Stop;0.01;USDJPY.pro;132.070;132.388;102.918;2022.08.12 20:59:00;133.452;;;;cancelled
2022.08.12 01:01:03;Sell Stop;0.01;USDJPY.pro;131.733;132.007;106.501;2022.08.12 20:59:00;133.452;;;;cancelled
2022.08.12 03:26:14;Buy;0.01;USDJPY.pro;133.312;133.524;158.542;2022.08.12 19:16:17;133.525;-0.07;;1.60;[sl]
2022.08.12 03:26:14;Buy;0.01;USDJPY.pro;133.312;133.524;158.542;2022.08.12 16:25:04;133.524;-0.07;;1.59;[sl]
2022.08.11 23:30:00;Buy;0.01;GBPCAD.pro;1.55675;1.55178;1.55928;2022.08.11 23:32:38;1.55691;-0.07;;0.13;
2022.08.11 22:50:00;Buy;0.01;GBPUSD.pro;1.21875;1.21378;1.22028;2022.08.11 23:20:47;1.21952;-0.07;;0.77;
2022.08.11 01:01:00;Buy Stop;0.01;USDJPY.pro;135.302;135.041;140.540;2022.08.11 22:59:00;133.101;;;;cancelled
2022.08.11 01:01:03;Buy Stop;0.01;USDJPY.pro;133.310;132.972;158.542;2022.08.11 20:59:04;133.007;;;;cancelled
2022.08.11 17:12:44;Sell Stop;0.01;USDJPY.pro;131.733;132.071;78.565;2022.08.11 20:59:03;133.003;;;;cancelled
2022.08.11 01:01:01;Buy Stop;0.01;USDJPY.pro;133.310;132.972;158.542;2022.08.11 20:59:02;133.020;;;;cancelled
2022.08.11 17:12:42;Sell Stop;0.01;USDJPY.pro;131.733;132.071;78.565;2022.08.11 20:59:01;133.013;;;;cancelled
