Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.13 09:50:49;Balance;;;;;;;;;;-1 533.92;Withdrawal
2022.08.08 01:00:02;Sell Stop;0.07;NDX;12 798.3;12 848.3;;2022.08.12 23:00:00;13 561.3;;;;cancelled
2022.08.12 01:01:00;Sell Stop;0.08;GBPJPY;159.440;159.940;157.940;2022.08.12 22:00:00;162.056;;;;cancelled
2022.08.12 01:01:00;Buy Stop;0.08;GBPJPY;163.912;163.412;165.412;2022.08.12 22:00:00;162.066;;;;cancelled
2022.08.12 01:01:00;Sell Stop;0.08;GBPJPY;161.258;161.758;;2022.08.12 21:00:00;162.051;;;;cancelled
2022.08.12 07:00:00;Sell Stop;0.01;NDX;13 269.7;13 294.7;;2022.08.12 19:00:00;13 440.0;;;;cancelled
2022.08.12 07:00:00;Sell Stop;0.13;NDX;13 269.7;13 294.7;;2022.08.12 19:00:00;13 440.0;;;;cancelled
2022.08.12 07:00:00;Buy Stop;0.01;NDX;13 557.2;13 532.2;;2022.08.12 19:00:00;13 440.7;;;;cancelled
2022.08.12 07:00:00;Buy Stop;0.13;NDX;13 557.2;13 532.2;;2022.08.12 19:00:00;13 440.7;;;;cancelled
2022.08.12 01:00:00;Sell Stop;0.18;USDJPY;131.733;131.983;;2022.08.12 19:00:00;133.579;;;;cancelled
2022.08.12 14:40:04;Buy;0.08;GBPJPY;162.449;161.950;164.050;2022.08.12 15:56:20;161.949;-0.47;;-29.13;[sl]
2022.08.12 03:26:16;Buy;0.18;USDJPY;133.317;133.481;;2022.08.12 15:24:17;133.481;-0.87;;21.49;[sl]
2022.08.12 03:15:57;Buy;0.08;GBPJPY;162.451;161.950;164.050;2022.08.12 12:16:55;161.950;-0.47;;-29.20;[sl]
2022.08.11 01:00:00;Sell Stop;0.08;GBPJPY;159.440;159.940;157.940;2022.08.12 00:04:01;162.155;;;;cancelled
2022.08.11 01:00:00;Buy Stop;0.08;GBPJPY;163.912;163.412;165.412;2022.08.12 00:04:01;162.468;;;;cancelled
2022.08.11 01:00:00;Buy Stop;0.18;USDJPY;135.301;135.051;;2022.08.12 00:04:01;133.064;;;;cancelled
2022.08.11 17:27:01;Sell Stop;0.08;GBPJPY;161.674;162.174;;2022.08.11 23:00:00;162.261;;;;cancelled
2022.08.11 01:00:07;Buy Stop;0.08;GBPJPY;163.524;163.024;165.124;2022.08.11 23:00:00;162.274;;;;cancelled
2022.08.11 07:00:00;Sell Stop;0.01;NDX;12 966.3;12 991.3;;2022.08.11 22:00:00;13 302.1;;;;cancelled
2022.08.11 07:00:00;Sell Stop;0.13;NDX;12 966.3;12 991.3;;2022.08.11 22:00:00;13 302.1;;;;cancelled
2022.08.11 14:43:16;Sell;0.08;GBPJPY;161.669;162.174;;2022.08.11 17:27:01;162.175;-0.47;;-29.53;[sl]
2022.08.11 15:23:04;Sell;0.18;USDJPY;132.026;132.276;;2022.08.11 15:35:41;132.277;-0.87;;-33.05;[sl]
2022.08.10 01:01:53;Sell Stop;0.08;GBPJPY;159.440;159.940;157.940;2022.08.11 00:04:01;162.290;;;;cancelled
2022.08.10 01:01:53;Buy Stop;0.08;GBPJPY;163.912;163.412;165.412;2022.08.11 00:04:01;162.626;;;;cancelled
2022.08.10 15:30:13;Buy Stop;0.08;GBPJPY;163.672;163.172;165.272;2022.08.10 23:00:00;162.420;;;;cancelled
2022.08.10 18:05:59;Buy;0.07;NDX;13 364.6;13 314.8;;2022.08.10 19:19:56;13 313.3;-0.37;;-34.78;[sl]
2022.08.10 15:30:17;Sell;0.08;GBPJPY;162.587;162.394;;2022.08.10 18:35:05;162.378;-0.47;;12.20;[sl]
2022.08.10 15:30:01;Sell;0.18;USDJPY;134.437;133.103;;2022.08.10 15:32:20;133.135;-0.88;;170.56;[sl]
2022.08.10 15:30:02;Sell;0.08;GBPJPY;162.721;163.118;;2022.08.10 15:30:02;163.378;-0.47;;-38.00;[sl]
2022.08.10 15:29:49;Buy;0.08;GBPJPY;163.731;163.172;165.272;2022.08.10 15:30:00;163.180;-0.47;;-31.88;[sl]
2022.08.10 02:56:54;Buy;0.18;USDJPY;135.199;134.949;;2022.08.10 06:48:03;134.949;-0.88;;-32.65;[sl]
2022.08.09 01:44:16;Sell Stop;0.18;USDJPY;134.356;134.606;;2022.08.10 00:04:01;135.031;;;;cancelled
2022.08.09 01:44:15;Buy Stop;0.18;USDJPY;135.580;135.330;;2022.08.10 00:04:01;135.154;;;;cancelled
