Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.11 04:30:01;Sell;0.04;AUDNZD;1.10613;1.11304;1.09812;2022.08.11 06:30:02;1.10567;-0.28;;1.17;
2022.08.10 23:30:02;Sell;0.04;AUDNZD;1.10608;1.11304;1.09812;2022.08.11 03:45:02;1.10520;-0.28;0.03;2.26;
2022.08.10 22:30:01;Sell;0.04;AUDNZD;1.10543;1.11304;1.09812;2022.08.11 03:45:02;1.10520;-0.28;0.03;0.59;
2022.08.08 14:30:01;Buy;0.04;AUDNZD;1.10949;1.10332;1.11724;2022.08.08 16:00:01;1.11069;-0.28;;3.02;
2022.08.08 14:00:01;Buy;0.04;AUDNZD;1.10987;1.10332;1.11724;2022.08.08 16:00:01;1.11074;-0.28;;2.19;
2022.08.08 13:30:01;Buy;0.04;AUDNZD;1.11033;1.10332;1.11724;2022.08.08 16:00:01;1.11075;-0.28;;1.06;
2022.08.08 12:30:00;Buy;0.04;AUDNZD;1.11073;1.10332;1.11724;2022.08.08 16:00:01;1.11075;-0.28;;0.05;
2022.08.08 15:30:01;Buy;0.04;AUDNZD;1.10897;1.10332;1.11724;2022.08.08 16:00:00;1.11069;-0.28;;4.33;
2022.08.05 09:45:01;Sell;0.04;CADCHF;0.74388;0.74686;0.73830;2022.08.05 11:30:01;0.74266;-0.28;;5.10;
2022.08.05 08:00:01;Sell;0.04;CADCHF;0.74327;0.74846;0.73750;2022.08.05 11:30:01;0.74266;-0.28;;2.55;
2022.08.05 05:45:00;Sell;0.04;CADCHF;0.74298;0.74876;0.73735;2022.08.05 11:30:01;0.74266;-0.28;;1.34;
2022.08.05 03:30:01;Sell;0.04;CADCHF;0.74248;0.74904;0.73721;2022.08.05 11:30:01;0.74266;-0.28;;-0.75;
2022.08.03 10:00:08;Buy;0.04;AUDNZD;1.10653;1.10202;1.11516;2022.08.03 10:30:01;1.10750;-0.28;;2.43;
2022.08.03 09:00:00;Buy;0.04;AUDNZD;1.10685;1.10202;1.11516;2022.08.03 10:30:01;1.10749;-0.28;;1.61;
2022.08.03 07:00:00;Buy;0.04;AUDNZD;1.10749;1.10077;1.11579;2022.08.03 10:30:01;1.10749;-0.28;;0.00;
2022.08.02 10:15:01;Buy;0.01;AUDNZD;1.10275;;1.10542;2022.08.02 17:55:53;1.10544;-0.07;;1.69;[tp]
2022.08.02 15:15:00;Sell;0.04;AUDNZD;1.10226;1.10993;1.09619;2022.08.02 17:00:30;1.10258;-0.28;;-0.81;
2022.08.02 15:30:01;Sell;0.04;AUDNZD;1.10263;1.10993;1.09619;2022.08.02 17:00:05;1.10252;-0.28;;0.28;
2022.08.02 16:15:00;Sell;0.04;AUDNZD;1.10356;1.10993;1.09619;2022.08.02 17:00:02;1.10248;-0.28;;2.72;
