Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2022.08.05 11:00:00;Buy;0.01;XAUUSD;1 785.300;1 787.047;1 815.300;2022.08.05 11:45:44;1 786.831;;;1.53;[sl]
2022.08.04 10:00:01;Sell;0.01;XAUUSD;1 779.765;1 779.079;1 749.765;2022.08.04 13:03:09;1 779.151;;;0.62;[sl]
2022.08.02 19:00:00;Buy;0.01;XAUUSD;1 766.490;1 767.678;1 796.490;2022.08.03 03:30:44;1 767.592;;;1.10;[sl]
2022.08.01 10:00:01;Sell;0.01;XAUUSD;1 773.501;1 772.348;1 743.501;2022.08.01 10:50:07;1 772.390;;;1.11;[sl]
2022.07.27 09:00:00;Sell;0.01;XAUUSD;1 723.506;1 722.466;1 693.506;2022.07.27 10:00:11;1 722.485;;;1.02;[sl]
2022.07.19 11:00:01;Sell;0.01;XAUUSD;1 717.096;1 714.513;1 687.096;2022.07.19 12:00:04;1 714.638;;;2.46;[sl]
2022.07.14 14:00:02;Buy;0.01;XAUUSD;1 701.686;1 703.211;1 731.686;2022.07.14 14:13:24;1 703.015;;;1.33;[sl]
2022.07.14 11:00:00;Buy;0.01;XAUUSD;1 711.151;1 712.416;1 741.151;2022.07.14 11:12:37;1 712.398;;;1.25;[sl]
2022.07.13 13:00:00;Buy;0.01;XAUUSD;1 712.898;1 716.805;1 742.898;2022.07.13 13:05:25;1 716.805;;;3.91;[sl]
2022.07.12 20:00:00;Buy;0.01;XAUUSD;1 725.839;1 726.821;1 755.839;2022.07.13 01:12:01;1 726.821;;;0.98;[sl]
2022.07.12 18:00:00;Buy;0.01;XAUUSD;1 727.327;1 728.264;1 757.327;2022.07.12 19:02:37;1 728.126;;;0.80;[sl]
2022.07.12 05:00:00;Buy;0.01;XAUUSD;1 729.025;1 729.660;1 759.025;2022.07.12 06:18:30;1 729.565;;;0.54;[sl]
2022.07.11 10:00:01;Buy;0.01;XAUUSD;1 735.286;1 736.061;1 765.286;2022.07.11 10:49:39;1 735.954;;;0.66;[sl]
2022.07.05 14:00:03;Buy;0.01;XAUUSD;1 784.372;1 754.372;1 814.372;2022.07.06 14:13:58;1 754.252;;;-30.12;[sl]
2022.07.05 11:00:00;Buy;0.01;XAUUSD;1 801.336;1 803.481;1 831.336;2022.07.05 12:20:14;1 803.403;;;2.06;[sl]
2022.07.01 11:00:02;Buy;0.01;XAUUSD;1 790.207;1 793.200;1 820.207;2022.07.01 13:04:34;1 793.172;;;2.96;[sl]
2022.06.30 10:00:00;Buy;0.01;XAUUSD;1 813.131;1 821.516;1 843.131;2022.06.30 12:42:49;1 820.648;;;7.52;[sl]
