,id,Trades,Profit Trades,Loss Trades,Best trade,Worst trade,Gross Profit,Gross Loss,Maximum consecutive wins,Maximal consecutive profit,Sharpe Ratio,Trading activity,Max deposit load,Latest trade,Trades per week,Avg holding time,Recovery Factor,Long Trades,Short Trades,Profit Factor,Expected Payoff,Average Profit,Average Loss,Maximum consecutive losses,Maximal consecutive loss,Monthly growth,Annual Forecast,Algo trading,Best trade,Maximum consecutive wins,Maximal consecutive profit,Worst trade,Maximum consecutive losses,Maximal consecutive loss,Absolute,Maximal,By Balance,By Equity
10,1506203,215,201 (93.48%),14 (6.51%),49.79 AUD,-63.16 AUD,"731.17 AUD
 (9 242 pips)","-316.24 AUD
 (2 916 pips)",49 (128.57 AUD),149.22 AUD (43),0.23,7.41%,17.83%,21 hours ago,8,4 hours,6.57,86 (40.00%),129 (60.00%),2.31,1.93 AUD,3.64 AUD,-22.59 AUD,2 (-18.98 AUD),-63.16 AUD (1),16.75%,203.20%,99%,49.79 AUD,49 (128.57 AUD),149.22 AUD (43),-63.16 AUD,2 (-18.98 AUD),-63.16 AUD (1),0.00 AUD,63.16 AUD (11.66%),11.24% (18.98 AUD),32.86% (165.06 AUD)
11,890367,1 836,1 409 (76.74%),427 (23.26%),344.30 USD,-122.96 USD,"13 382.61 USD
 (455 084 pips)","-5 142.97 USD
 (213 901 pips)",48 (574.43 USD),574.43 USD (48),0.29,65.08%,6.96%,21 hours ago,51,2 days,29.49,972 (52.94%),864 (47.06%),2.6,4.49 USD,9.50 USD,-12.04 USD,4 (-279.38 USD),-279.38 USD (4),8.27%,100.29%,99%,344.30 USD,48 (574.43 USD),574.43 USD (48),-122.96 USD,4 (-279.38 USD),-279.38 USD (4),0.00 USD,279.38 USD (2.46%),2.46% (279.38 USD),23.92% (2 915.55 USD)
12,1536071,1 202,882 (73.37%),320 (26.62%),71.74 USD,-145.24 USD,"4 360.75 USD
 (54 900 pips)","-3 240.36 USD
 (36 013 pips)",23 (26.58 USD),226.95 USD (11),0.17,25.28%,18.81%,6 hours ago,18,2 hours,3.79,545 (45.34%),657 (54.66%),1.35,0.93 USD,4.94 USD,-10.13 USD,7 (-19.21 USD),-148.13 USD (2),-19.31%,-100.00%,99%,71.74 USD,23 (26.58 USD),226.95 USD (11),-145.24 USD,7 (-19.21 USD),-148.13 USD (2),0.24 USD,295.30 USD (36.03%),34.71% (299.98 USD),10.48% (27.46 USD)
13,939747,1 242,723 (58.21%),519 (41.79%),3 540.00 BRL,-1 680.00 BRL,"144 987.45 BRL
 (529 762 pips)","-107 205.44 BRL
 (455 567 pips)",39 (14 464.00 BRL),14 464.00 BRL (39),0.04,4.23%,0.00%,18 hours ago,19,2 hours,2.33,370 (29.79%),872 (70.21%),1.35,30.42 BRL,200.54 BRL,-206.56 BRL,18 (-7 544.00 BRL),-7 544.00 BRL (18),6.62%,80.28%,92%,3 540.00 BRL,39 (14 464.00 BRL),14 464.00 BRL (39),-1 680.00 BRL,18 (-7 544.00 BRL),-7 544.00 BRL (18),1 174.00 BRL,16 198.00 BRL (50.21%),40.47% (1 350.00 BRL),12.82% (860.00 BRL)
14,802199,5 914,4 491 (75.93%),1 423 (24.06%),4 265.98 EUR,-2 265.51 EUR,"184 104.78 EUR
 (1 163 028 pips)","-72 480.53 EUR
 (750 093 pips)",156 (6 324.66 EUR),9 308.15 EUR (21),0.21,98.74%,100.00%,13 hours ago,80,3 days,9.78,2 266 (38.32%),3 648 (61.68%),2.54,18.87 EUR,40.99 EUR,-50.94 EUR,80 (-11 384.09 EUR),-11 384.09 EUR (80),8.64%,104.84%,90%,4 265.98 EUR,156 (6 324.66 EUR),9 308.15 EUR (21),-2 265.51 EUR,80 (-11 384.09 EUR),-11 384.09 EUR (80),0.00 EUR,11 409.53 EUR (19.25%),9.56% (11 409.53 EUR),47.46% (45 827.69 EUR)
15,951062,4 491,2 958 (65.86%),1 533 (34.13%),45.41 USD,-120.52 USD,"5 043.61 USD
 (193 483 pips)","-3 737.54 USD
 (117 263 pips)",23 (63.32 USD),168.82 USD (11),0.1,36.83%,29.16%,7 hours ago,55,7 hours,6.33,2 196 (48.90%),2 295 (51.10%),1.35,0.29 USD,1.71 USD,-2.44 USD,12 (-12.12 USD),-136.68 USD (3),20.26%,245.87%,99%,45.41 USD,23 (63.32 USD),168.82 USD (11),-120.52 USD,12 (-12.12 USD),-136.68 USD (3),0.21 USD,206.41 USD (12.15%),37.83% (187.85 USD),23.67% (111.79 USD)
16,630041,2 403,1 741 (72.45%),662 (27.55%),167.42 USD,-216.49 USD,"32 037.74 USD
 (101 698 pips)","-25 694.91 USD
 (62 852 pips)",27 (265.96 USD),539.11 USD (20),0.02,12.23%,48.13%,9 hours ago,28,2 hours,7.39,839 (34.91%),1 564 (65.09%),1.25,2.64 USD,18.40 USD,-38.81 USD,6 (-218.50 USD),-544.62 USD (5),10.65%,129.17%,95%,167.42 USD,27 (265.96 USD),539.11 USD (20),-216.49 USD,6 (-218.50 USD),-544.62 USD (5),571.32 USD,858.88 USD (109.06%),29.93% (648.90 USD),15.43% (274.55 USD)
17,829814,517,404 (78.14%),113 (21.86%),28.32 USD,-21.29 USD,"1 595.68 USD
 (23 839 pips)","-672.07 USD
 (7 710 pips)",23 (105.71 USD),143.03 USD (11),0.42,4.93%,89.31%,1 day ago,3,1 hour,13.54,347 (67.12%),170 (32.88%),2.37,1.79 USD,3.95 USD,-5.95 USD,5 (-1.42 USD),-32.07 USD (4),-0.31%,-3.79%,76%,28.32 USD,23 (105.71 USD),143.03 USD (11),-21.29 USD,5 (-1.42 USD),-32.07 USD (4),0.30 USD,68.23 USD (5.80%),11.69% (25.61 USD),11.29% (40.99 USD)
18,1457178,106,91 (85.84%),15 (14.15%),166.82 USD,-539.66 USD,"2 379.01 USD
 (13 709 pips)","-1 572.03 USD
 (9 851 pips)",22 (485.29 USD),485.29 USD (22),0.14,18.63%,16.86%,2 days ago,4,7 hours,1.26,62 (58.49%),44 (41.51%),1.51,7.61 USD,26.14 USD,-104.80 USD,3 (-520.74 USD),-539.66 USD (1),-5.56%,-67.41%,96%,166.82 USD,22 (485.29 USD),485.29 USD (22),-539.66 USD,3 (-520.74 USD),-539.66 USD (1),0.00 USD,640.04 USD (23.16%),35.35% (539.66 USD),32.51% (496.28 USD)
19,910374,327,259 (79.20%),68 (20.80%),122.75 USD,-39.08 USD,"1 486.10 USD
 (68 371 pips)","-481.32 USD
 (22 605 pips)",28 (56.15 USD),198.64 USD (20),0.28,42.44%,37.23%,9 days ago,0,2 days,10.79,175 (53.52%),152 (46.48%),3.09,3.07 USD,5.74 USD,-7.08 USD,4 (-91.15 USD),-91.15 USD (4),16.07%,195.02%,99%,122.75 USD,28 (56.15 USD),198.64 USD (20),-39.08 USD,4 (-91.15 USD),-91.15 USD (4),0.04 USD,93.08 USD (15.25%),15.13% (92.62 USD),52.04% (254.55 USD)
20,783756,2 445,1 808 (73.94%),637 (26.05%),117.79 USD,-180.82 USD,"23 358.23 USD
 (86 306 pips)","-17 830.31 USD
 (45 786 pips)",51 (174.60 USD),464.99 USD (27),0.13,11.61%,106.92%,9 hours ago,54,2 hours,7.01,895 (36.61%),1 550 (63.39%),1.31,2.26 USD,12.92 USD,-27.99 USD,7 (-273.66 USD),-453.75 USD (4),22.63%,274.58%,99%,117.79 USD,51 (174.60 USD),464.99 USD (27),-180.82 USD,7 (-273.66 USD),-453.75 USD (4),22.15 USD,788.27 USD (9.82%),37.75% (790.70 USD),19.59% (605.30 USD)
21,1486477,194,161 (82.98%),33 (17.01%),51.00 USD,-63.08 USD,"1 451.45 USD
 (53 837 pips)","-244.31 USD
 (7 692 pips)",35 (128.30 USD),415.80 USD (21),0.53,29.99%,2.63%,5 hours ago,11,1 day,11.02,24 (12.37%),170 (87.63%),5.94,6.22 USD,9.02 USD,-7.40 USD,4 (-19.31 USD),-109.51 USD (2),21.08%,255.76%,0%,51.00 USD,35 (128.30 USD),415.80 USD (21),-63.08 USD,4 (-19.31 USD),-109.51 USD (2),0.22 USD,109.51 USD (22.84%),7.26% (109.63 USD),5.36% (126.50 USD)
22,1333637,830,526 (63.37%),304 (36.63%),47.68 EUR,-68.17 EUR,"2 334.35 EUR
 (32 204 pips)","-1 776.10 EUR
 (16 578 pips)",26 (20.05 EUR),117.65 EUR (4),0.13,15.13%,68.01%,8 hours ago,26,8 hours,2.41,385 (46.39%),445 (53.61%),1.31,0.67 EUR,4.44 EUR,-5.84 EUR,23 (-27.70 EUR),-229.51 EUR (6),50.76%,615.89%,99%,47.68 EUR,26 (20.05 EUR),117.65 EUR (4),-68.17 EUR,23 (-27.70 EUR),-229.51 EUR (6),0.18 EUR,232.00 EUR (30.07%),34.81% (180.20 EUR),34.33% (264.39 EUR)
23,1203295,330,218 (66.06%),112 (33.94%),54.28 USD,-38.22 USD,"1 244.41 USD
 (26 006 pips)","-752.52 USD
 (14 626 pips)",15 (100.52 USD),102.09 USD (9),0.19,6.19%,40.62%,10 hours ago,6,7 hours,8.04,175 (53.03%),155 (46.97%),1.65,1.49 USD,5.71 USD,-6.72 USD,5 (-19.36 USD),-41.86 USD (3),37.88%,459.56%,100%,54.28 USD,15 (100.52 USD),102.09 USD (9),-38.22 USD,5 (-19.36 USD),-41.86 USD (3),13.36 USD,61.19 USD (16.55%),24.73% (28.48 USD),14.07% (73.84 USD)
24,1193119,2 874,2 609 (90.77%),265 (9.22%),27.92 USD,-24.30 USD,"2 566.17 USD
 (108 734 pips)","-1 952.54 USD
 (57 939 pips)",152 (50.74 USD),99.60 USD (19),0.13,26.22%,38.45%,5 hours ago,27,7 hours,7.14,1 436 (49.97%),1 438 (50.03%),1.31,0.21 USD,0.98 USD,-7.37 USD,6 (-13.78 USD),-61.18 USD (3),22.93%,278.24%,99%,27.92 USD,152 (50.74 USD),99.60 USD (19),-24.30 USD,6 (-13.78 USD),-61.18 USD (3),26.80 USD,85.89 USD (20.79%),27.14% (27.43 USD),14.15% (16.43 USD)
25,1115903,3 969,2 821 (71.07%),1 148 (28.92%),130.92 USD,-329.31 USD,"23 430.75 USD
 (156 025 pips)","-16 028.75 USD
 (146 027 pips)",40 (150.20 USD),1 125.16 USD (35),0.13,26.66%,77.37%,6 hours ago,35,3 hours,6.14,1 306 (32.91%),2 663 (67.09%),1.46,1.86 USD,8.31 USD,-13.96 USD,17 (-385.27 USD),-1 183.63 USD (9),-4.64%,-56.29%,98%,130.92 USD,40 (150.20 USD),1 125.16 USD (35),-329.31 USD,17 (-385.27 USD),-1 183.63 USD (9),25.87 USD,1 205.57 USD (13.48%),18.73% (1 201.39 USD),23.44% (736.64 USD)
26,1243950,330,149 (45.15%),181 (54.85%),14 783.86 USD,-5 253.10 USD,"66 128.05 USD
 (1 536 010 pips)","-31 743.30 USD
 (1 486 756 pips)",10 (244.76 USD),14 783.86 USD (1),0.09,57.66%,72.05%,12 hours ago,8,12 hours,3.85,175 (53.03%),155 (46.97%),2.08,104.20 USD,443.81 USD,-175.38 USD,10 (-3 119.38 USD),-8 933.39 USD (7),27.52%,333.94%,100%,14 783.86 USD,10 (244.76 USD),14 783.86 USD (1),-5 253.10 USD,10 (-3 119.38 USD),-8 933.39 USD (7),1 097.80 USD,8 933.39 USD (25.12%),32.49% (6 296.75 USD),39.53% (9 141.77 USD)
27,1557243,148,45 (30.40%),103 (69.59%),413.25 USD,-154.40 USD,"4 953.32 USD
 (815 964 pips)","-3 025.45 USD
 (465 773 pips)",4 (35.63 USD),413.25 USD (1),0.18,33.45%,1.71%,15 hours ago,6,8 hours,2.2,72 (48.65%),76 (51.35%),1.64,13.03 USD,110.07 USD,-29.37 USD,22 (-605.59 USD),-605.59 USD (22),15.20%,184.37%,98%,413.25 USD,4 (35.63 USD),413.25 USD (1),-154.40 USD,22 (-605.59 USD),-605.59 USD (22),73.98 USD,876.86 USD (28.95%),32.22% (876.86 USD),2.44% (51.45 USD)
28,1274869,412,322 (78.15%),90 (21.84%),36.15 EUR,-40.52 EUR,"1 486.37 EUR
 (17 628 pips)","-896.56 EUR
 (7 078 pips)",22 (79.27 EUR),137.01 EUR (19),0.32,8.74%,46.44%,8 hours ago,8,3 hours,4.92,222 (53.88%),190 (46.12%),1.66,1.43 EUR,4.62 EUR,-9.96 EUR,6 (-45.44 EUR),-51.61 EUR (3),0.87%,10.56%,77%,36.15 EUR,22 (79.27 EUR),137.01 EUR (19),-40.52 EUR,6 (-45.44 EUR),-51.61 EUR (3),0.06 EUR,119.89 EUR (16.06%),12.95% (119.75 EUR),14.78% (102.62 EUR)
29,1167934,207,71 (34.29%),136 (65.70%),174.40 USD,-51.00 USD,"1 763.40 USD
 (30 345 pips)","-940.65 USD
 (26 921 pips)",5 (35.58 USD),174.40 USD (1),0.15,33.54%,105.51%,6 hours ago,7,13 hours,6.22,116 (56.04%),91 (43.96%),1.87,3.97 USD,24.84 USD,-6.92 USD,7 (-98.76 USD),-100.66 USD (6),17.13%,207.90%,0%,174.40 USD,5 (35.58 USD),174.40 USD (1),-51.00 USD,7 (-98.76 USD),-100.66 USD (6),5.41 USD,132.17 USD (14.19%),17.87% (86.32 USD),32.47% (51.50 USD)
30,1248180,1 228,898 (73.12%),330 (26.87%),14.49 EUR,-52.32 EUR,"3 129.00 EUR
 (52 180 pips)","-2 526.03 EUR
 (31 098 pips)",17 (44.99 EUR),74.85 EUR (14),0.11,28.31%,36.36%,2 hours ago,24,2 hours,5.58,604 (49.19%),624 (50.81%),1.24,0.49 EUR,3.48 EUR,-7.65 EUR,5 (-46.00 EUR),-58.96 EUR (2),47.97%,582.02%,99%,14.49 EUR,17 (44.99 EUR),74.85 EUR (14),-52.32 EUR,5 (-46.00 EUR),-58.96 EUR (2),8.34 EUR,108.15 EUR (26.38%),20.83% (106.26 EUR),14.47% (68.82 EUR)
31,1349944,1 130,567 (50.17%),563 (49.82%),283.20 USD,-187.53 USD,"16 356.92 USD
 (2 268 081 pips)","-12 758.14 USD
 (1 546 321 pips)",20 (124.85 USD),737.68 USD (9),0.08,53.62%,25.73%,9 minutes ago,60,5 hours,4.84,514 (45.49%),616 (54.51%),1.28,3.18 USD,28.85 USD,-22.66 USD,15 (-292.00 USD),-481.33 USD (12),14.54%,176.39%,99%,283.20 USD,20 (124.85 USD),737.68 USD (9),-187.53 USD,15 (-292.00 USD),-481.33 USD (12),35.00 USD,742.86 USD (14.94%),25.52% (590.10 USD),6.61% (102.42 USD)
