,symbol,ordertype,openorder_time,openorder_price,openorder_volume,openorder_commission,closeorder_time,closeorder_price,closeorder_volume,closeorder_commission,takeprofit,stopLoss,profit,swap,balance,openTradeDetails,openClosestrategies,type,id,dfoentity_id,pip_value,volatility,drawDown
0,,None,2022-05-31T13:00:20,0.0,0.0,0,2022-05-31T13:00:20,0.0,0.0,0,0.0,0,10000.0,0.0,0,,,,20789,150,,,
1,AUDCHF,Short,2022-05-31T13:00:20,0.68941,2.0,0,2022-05-31T14:06:24,0.68865,2.0,0,0.68741,0,158.4,0.0,0,,,,20740,150,,,
2,EURGBP,Short,2022-06-01T10:01:32,0.85057,2.0,0,2022-06-01T10:53:18,0.85265,2.0,0,0.0,0,-523.31,0.0,0,,,,20741,150,,,
3,AUDCHF,Long,2022-06-01T12:00:08,0.69203,2.0,0,2022-06-01T14:07:46,0.69287,2.0,0,0.0,0,174.62,0.0,0,,,,20742,150,,,
4,EURCAD,Short,2022-06-01T14:00:48,1.35361,2.0,0,2022-06-01T14:17:28,1.35387,2.0,0,0.0,0,-41.16,0.0,0,,,,20743,150,,,
5,EURUSD,Long,2022-06-02T09:00:49,1.06789,2.0,0,2022-06-02T09:28:28,1.06822,2.0,0,0.0,0,66.0,0.0,0,,,,20744,150,,,
6,AUDCHF,Long,2022-06-02T14:00:07,0.69224,2.0,0,2022-06-02T14:16:48,0.69246,2.0,0,0.0,0,45.82,0.0,0,,,,20745,150,,,
7,CADCHF,Long,2022-06-03T11:00:28,0.76292,4.0,0,2022-06-03T14:35:27,0.76547,4.0,0,0.0,0,1059.95,0.0,0,,,,20749,150,,,
8,CADCHF,Short,2022-06-03T10:01:36,0.76055,2.0,0,2022-06-03T14:35:28,0.76582,2.0,0,0.0,0,-1095.49,0.0,0,,,,20747,150,,,
9,USDCAD,Short,2022-06-03T10:25:01,1.25597,2.0,0,2022-06-03T15:55:17,1.25562,2.0,0,0.0,0,55.75,0.0,0,,,,20748,150,,,
10,CHFJPY,Long,2022-06-03T10:00:08,135.842,2.0,0,2022-06-03T19:01:24,135.92,2.0,0,135.92,0,119.24,0.0,0,,,,20746,150,,,
11,GBPCAD,Long,2022-06-06T09:00:14,1.57697,4.0,0,2022-06-06T10:03:02,1.577,4.0,0,1.57698,0,9.55,0.0,0,,,,20750,150,,,
12,GBPUSD,Short,2022-06-06T13:00:02,1.25523,4.0,0,2022-06-06T14:23:51,1.2549,4.0,0,1.2549,0,132.0,0.0,0,,,,20751,150,,,
13,EURCHF,Long,2022-06-07T09:00:11,1.04087,1.0,0,2022-06-07T09:48:00,1.04182,1.0,0,1.0418,0,97.43,0.0,0,,,,20752,150,,,
14,CADCHF,Long,2022-06-08T10:00:04,0.7784,1.0,0,2022-06-08T10:42:05,0.7792,1.0,0,0.7792,0,81.76,0.0,0,,,,20754,150,,,
15,CHFJPY,Long,2022-06-08T09:00:06,136.847,1.0,0,2022-06-08T12:11:30,136.928,1.0,0,136.967,0,60.54,0.0,0,,,,20753,150,,,
