,symbol,ordertype,openorder_time,openorder_price,openorder_volume,openorder_commission,closeorder_time,closeorder_price,closeorder_volume,closeorder_commission,takeprofit,stopLoss,profit,swap,balance,openTradeDetails,openClosestrategies,type,id,dfoentity_id,pip_value,volatility,drawDown
0,,None,2022-05-27T09:00:45,0.0,0.0,0,2022-05-27T09:00:45,0.0,0.0,0,0.0,0.0,25000.0,0.0,0,,,,11974,149,,,
1,USDCHF,Short,2022-05-27T09:00:45,0.95899,5.0,0,2022-05-27T09:13:30,0.96004,5.0,0,0.95799,0.0,-546.85,0.0,0,,,,11841,149,,,
2,AUDUSD,Long,2022-05-27T09:02:06,0.71298,5.0,0,2022-05-27T09:36:30,0.71392,5.0,0,0.71398,0.0,470.0,0.0,0,,,,11842,149,,,
3,USDCAD,Short,2022-05-27T10:00:02,1.27429,5.0,0,2022-05-27T10:02:11,1.275,5.0,0,1.27329,0.0,-278.43,0.0,0,,,,11843,149,,,
4,USDCAD,Long,2022-05-27T10:02:18,1.27505,5.0,0,2022-05-27T10:18:19,1.27458,5.0,0,1.27605,0.0,-184.37,0.0,0,,,,11844,149,,,
5,EURUSD,Short,2022-05-27T11:00:13,1.07289,5.0,0,2022-05-27T11:00:17,1.07304,5.0,0,0.0,0.0,-75.0,0.0,0,,,,11845,149,,,
6,EURUSD,Short,2022-05-27T11:01:22,1.07273,5.0,0,2022-05-27T11:57:16,1.07213,5.0,0,1.07173,0.0,300.0,0.0,0,,,,11846,149,,,
7,EURGBP,Long,2022-05-30T09:00:08,0.85105,5.0,0,2022-05-30T09:00:45,0.85053,5.0,0,0.85205,0.0,-328.72,0.0,0,,,,11847,149,,,
8,EURGBP,Long,2022-05-30T09:01:05,0.8509,5.0,0,2022-05-30T09:02:17,0.85049,5.0,0,0.0,0.0,-259.2,0.0,0,,,,11849,149,,,
9,EURGBP,Short,2022-05-30T09:00:38,0.85053,5.0,0,2022-05-30T09:06:45,0.85123,5.0,0,0.84953,0.0,-442.2,0.0,0,,,,11848,149,,,
10,EURCHF,Short,2022-05-30T10:02:00,1.02968,5.0,0,2022-05-30T10:02:08,1.02996,5.0,0,0.0,0.0,-146.1,0.0,0,,,,11850,149,,,
11,AUDUSD,Short,2022-05-30T10:02:36,0.71723,5.0,0,2022-05-30T10:02:40,0.71748,5.0,0,0.0,0.0,-125.0,0.0,0,,,,11851,149,,,
12,AUDCAD,Short,2022-05-30T10:02:47,0.91077,5.0,0,2022-05-30T10:03:28,0.91123,5.0,0,0.0,0.0,-181.15,0.0,0,,,,11852,149,,,
13,GBPJPY,Long,2022-05-30T11:01:34,160.835,5.0,0,2022-05-30T11:16:54,160.935,5.0,0,160.935,0.0,392.62,0.0,0,,,,11854,149,,,
14,AUDCAD,Long,2022-05-30T13:31:49,0.91174,1.0,0,2022-05-30T14:31:37,0.90984,1.0,0,0.91474,0.0,-149.88,0.0,0,,,,11857,149,,,
15,AUDJPY,Long,2022-05-30T11:00:14,91.517,5.0,0,2022-05-30T15:59:58,91.717,5.0,0,91.717,0.0,782.84,0.0,0,,,,11853,149,,,
16,USDCAD,Short,2022-05-30T11:29:12,1.26856,5.0,0,2022-05-30T17:13:56,1.26556,5.0,0,1.26556,0.0,1185.25,0.0,0,,,,11855,149,,,
17,USDCAD,Short,2022-05-30T11:30:46,1.26847,5.0,0,2022-05-30T17:16:08,1.26546,5.0,0,1.26547,0.0,1189.29,0.0,0,,,,11856,149,,,
18,USDJPY,Long,2022-05-31T11:03:02,127.955,1.0,0,2022-05-31T13:46:35,128.155,1.0,0,128.155,0.0,156.06,0.0,0,,,,11858,149,,,
19,USDJPY,Long,2022-05-31T11:08:03,127.985,5.0,0,2022-05-31T13:47:08,128.185,5.0,0,128.185,0.0,780.12,0.0,0,,,,11859,149,,,
20,USDJPY,Long,2022-05-31T14:00:22,128.224,5.0,0,2022-05-31T14:35:34,128.416,5.0,0,128.415,0.0,747.57,0.0,0,,,,11860,149,,,
21,USDJPY,Long,2022-05-31T14:40:04,128.509,5.0,0,2022-05-31T15:08:47,128.709,5.0,0,128.709,0.0,776.95,0.0,0,,,,11861,149,,,
22,EURUSD,Short,2022-06-01T08:23:08,1.07153,5.0,0,2022-06-01T13:54:35,1.07103,5.0,0,1.07103,0.0,250.0,0.0,0,,,,11862,149,,,
23,AUDJPY,Long,2022-06-01T15:00:10,93.415,5.0,0,2022-06-01T16:32:57,93.079,5.0,0,93.42,93.08,-1293.13,0.0,0,,,,11864,149,,,
24,EURCHF,Short,2022-06-01T08:39:08,1.02814,5.0,0,2022-06-01T16:59:08,1.0283,5.0,0,1.02764,0.0,-83.02,0.0,0,,,,11863,149,,,
25,AUDUSD,Long,2022-06-02T09:04:26,0.71849,5.0,0,2022-06-02T10:20:35,0.71879,5.0,0,0.71879,0.0,150.0,0.0,0,,,,11866,149,,,
26,USDCHF,Long,2022-06-01T17:00:13,0.96384,5.0,0,2022-06-02T21:17:11,0.95794,5.0,0,0.96484,0.0,-3079.52,41.22,0,,,,11865,149,,,
27,GBPJPY,Long,2022-06-06T09:00:47,163.623,5.0,0,2022-06-06T09:32:35,163.662,5.0,0,163.71,0.0,149.25,0.0,0,,,,11868,149,,,
28,EURGBP,Short,2022-06-06T09:00:10,0.85552,5.0,0,2022-06-06T10:30:19,0.85452,5.0,0,0.85452,0.0,628.89,0.0,0,,,,11867,149,,,
29,EURUSD,Long,2022-06-07T09:00:16,1.06893,5.0,0,2022-06-07T09:25:35,1.06914,5.0,0,1.06943,0.0,105.0,0.0,0,,,,11869,149,,,
30,AUDUSD,Long,2022-06-07T09:00:27,0.7197,5.0,0,2022-06-07T10:11:35,0.71991,5.0,0,0.7199,0.0,105.0,0.0,0,,,,11870,149,,,
31,EURGBP,Short,2022-06-07T11:59:36,0.85376,5.0,0,2022-06-07T12:21:14,0.85328,5.0,0,0.85326,0.0,300.37,0.0,0,,,,11871,149,,,
32,AUDCHF,Short,2022-06-08T09:00:41,0.70114,5.0,0,2022-06-08T09:26:46,0.70268,5.0,0,0.70064,0.0,-789.13,0.0,0,,,,11872,149,,,
33,AUDCHF,Long,2022-06-08T09:16:39,0.70245,5.0,0,2022-06-08T09:44:39,0.70313,5.0,0,0.0,0.0,348.35,0.0,0,,,,11873,149,,,
