,symbol,ordertype,openorder_time,openorder_price,openorder_volume,openorder_commission,closeorder_time,closeorder_price,closeorder_volume,closeorder_commission,takeprofit,stopLoss,profit,swap,balance,openTradeDetails,openClosestrategies,type,id,dfoentity_id,pip_value,volatility,drawDown
0,,None,2022-05-27T09:59:55,0.0,0.0,0,2022-05-27T09:59:55,0.0,0.0,0,0.0,0.0,25000.0,0.0,0,,,,21689,147,0.0,,
1,EURCHF,Short,2022-05-27T10:59:17,1.02854,5.0,0,2022-05-27T12:02:23,1.02754,5.0,0,1.02754,0.0,521.44,0.0,0,,,,11497,147,1.043209816523574,,
2,CADJPY,Long,2022-05-27T09:59:55,99.764,5.0,0,2022-05-27T12:08:56,99.737,5.0,0,99.864,99.491,-106.24,0.0,0,,,,11496,147,0.00786894527727651,,
3,AUDJPY,Long,2022-05-30T10:02:23,91.372,5.0,0,2022-05-30T11:07:38,91.573,5.0,0,91.572,0.0,789.11,0.0,0,,,,11499,147,0.007852044056143117,,
4,AUDCAD,Short,2022-05-30T10:00:04,0.91081,5.0,0,2022-05-30T14:55:16,0.9098,5.0,0,0.90981,0.9129,398.32,0.0,0,,,,11498,147,0.7876667947943551,,
5,USDCAD,Short,2022-05-30T10:59:20,1.26901,5.0,0,2022-05-30T16:25:09,1.26601,5.0,0,1.26601,0.0,1184.82,0.0,0,,,,11500,147,0.7880282744544874,,
6,EURCAD,Short,2022-05-31T08:59:21,1.35972,5.0,0,2022-05-31T12:53:30,1.3577,5.0,0,1.35772,0.0,796.49,0.0,0,,,,11501,147,0.7895363975374567,,
7,CADJPY,Long,2022-05-31T14:00:28,101.249,5.0,0,2022-05-31T14:40:01,101.35,5.0,0,101.349,0.0,392.98,0.0,0,,,,11502,147,0.007804399020403011,,
8,CADJPY,Long,2022-05-31T14:59:22,101.492,5.0,0,2022-05-31T15:25:47,101.593,5.0,0,101.592,0.0,392.68,0.0,0,,,,11503,147,0.007777886878197018,,
9,GBPJPY,Long,2022-06-01T08:58:47,162.986,5.0,0,2022-06-01T09:34:36,163.186,5.0,0,163.186,0.0,772.3,0.0,0,,,,11504,147,0.007732259391364672,,
10,AUDCHF,Long,2022-06-01T09:58:54,0.6901,5.0,0,2022-06-01T11:08:45,0.69115,5.0,0,0.6911,0.0,545.51,0.0,0,,,,11505,147,1.041350113089369,,
11,GBPCAD,Short,2022-06-01T11:02:42,1.59133,5.0,0,2022-06-01T13:45:08,1.59033,5.0,0,1.59033,0.0,395.53,0.0,0,,,,11506,147,0.7902856855573571,,
12,EURGBP,Short,2022-06-06T09:00:08,0.85553,5.0,0,2022-06-06T10:30:14,0.85453,5.0,0,0.85453,0.0,628.85,0.0,0,,,,11509,147,1.253644792068558,,
13,EURCAD,Short,2022-06-06T14:00:11,1.3469,5.0,0,2022-06-06T14:23:49,1.34589,5.0,0,1.3459,0.0,402.22,0.0,0,,,,11510,147,0.7966632759888034,,
14,USDCHF,Short,2022-06-06T15:41:22,0.96357,0.5,0,2022-06-06T15:41:42,0.96338,0.5,0,0.0,0.0,9.86,64.51,0,,,,11512,147,1.037753471285361,,
15,USDCHF,Long,2022-06-06T15:41:15,0.96381,0.5,0,2022-06-06T15:41:50,0.9567,0.5,0,0.0,0.0,-371.59,-30.09,0,,,,11511,147,1.037753471285361,,
16,EURCHF,Long,2022-06-07T09:59:45,1.04201,0.5,0,2022-06-07T11:33:36,1.04304,0.5,0,1.04301,0.0,52.77,0.0,0,,,,11513,147,1.025819951431616,,
17,EURCHF,Long,2022-06-07T10:00:12,1.04235,4.5,0,2022-06-07T11:36:31,1.04336,4.5,0,1.04335,0.0,465.52,0.0,0,,,,11514,147,1.025644224770862,,
18,USDCHF,Long,2022-06-07T11:59:17,0.9766,5.0,0,2022-06-07T13:54:04,0.9776,5.0,0,0.9776,0.0,511.46,0.0,0,,,,11515,147,1.024159932815108,,
19,USDCHF,Long,2022-06-07T15:12:32,0.97675,0.5,0,2022-06-07T15:13:00,0.9567,0.5,0,0.0,0.0,-1047.87,-27.59,0,,,,11516,147,1.024002621446711,,
20,USDCHF,Short,2022-06-07T15:12:36,0.97652,0.5,0,2022-06-07T15:13:10,0.96338,0.5,0,0.0,0.0,681.97,13.01,0,,,,11517,147,1.024002621446711,,
21,USDCHF,Short,2022-06-07T15:59:35,0.97327,4.0,0,2022-06-07T20:29:38,0.97227,4.0,0,0.97227,0.0,411.41,0.0,0,,,,11518,147,1.027253022692019,,
22,USDCHF,Short,2022-06-08T07:59:18,0.97467,0.5,0,2022-06-08T08:00:18,0.96338,0.5,0,0.0,0.0,585.96,11.72,0,,,,11519,147,1.025967230606655,,
23,USDCHF,Long,2022-06-08T07:59:24,0.97491,0.5,0,2022-06-08T08:00:25,0.9567,0.5,0,0.0,0.0,-951.71,-24.22,0,,,,11520,147,1.025967230606655,,
24,GBPUSD,Short,2022-06-08T10:00:15,1.25472,5.0,0,2022-06-08T10:40:42,1.25272,5.0,0,1.25272,0.0,1000.0,0.0,0,,,,11521,147,1.25469,,
25,CHFJPY,Long,2022-06-08T13:00:16,137.099,5.0,0,2022-06-08T13:31:20,137.302,5.0,0,137.299,0.0,757.4,0.0,0,,,,11523,147,0.007465085576033882,,
26,EURJPY,Short,2022-06-09T08:24:03,143.357,5.0,0,2022-06-09T09:44:35,143.002,5.0,0,0.0,0.0,1329.89,0.0,0,,,,11527,147,0.007473372161964217,,
27,USDCHF,Short,2022-06-09T10:10:03,0.97912,0.5,0,2022-06-09T10:11:15,0.97942,0.5,0,0.0,0.0,-15.32,0.0,0,,,,11530,147,1.021346134204882,,
28,USDCHF,Long,2022-06-09T10:11:28,0.97963,0.5,0,2022-06-09T10:11:43,0.9567,0.5,0,0.0,0.0,-1198.39,-63.37,0,,,,11531,147,1.021325271672522,,
29,GBPUSD,Short,2022-06-08T11:00:01,1.25206,5.0,0,2022-06-09T11:00:41,1.25232,5.0,0,0.0,0.0,-130.0,-33.32,0,,,,11522,147,1.25206,,
30,EURJPY,Long,2022-06-09T11:01:12,143.239,5.0,0,2022-06-09T14:25:00,143.896,5.0,0,143.895,0.0,2453.54,0.0,0,,,,11532,147,0.007479698072102393,,
31,GBPUSD,Long,2022-06-08T15:59:59,1.25559,5.0,0,2022-06-09T15:21:46,1.25447,5.0,0,1.25659,0.0,-560.0,-25.22,0,,,,11525,147,1.25573,,
32,USDCHF,Long,2022-06-01T16:57:30,0.96338,5.0,0,2022-06-09T16:45:21,0.97597,5.0,0,0.0,0.0,5179.22,30.6,0,,,,11507,147,1.038335340781659,,
33,USDCHF,Short,2022-06-02T23:05:31,0.9567,5.0,0,2022-06-09T16:45:22,0.97634,5.0,0,0.0,0.0,-6548.74,0.0,0,,,,11508,147,1.045281598862734,,
34,EURJPY,Long,2022-06-09T16:46:24,142.981,1.0,0,2022-06-09T16:46:31,142.821,1.0,0,0.0,0.0,-119.29,0.0,0,,,,11534,147,0.007455685045539124,,
35,EURJPY,Short,2022-06-09T16:46:20,142.952,1.0,0,2022-06-09T16:46:39,144.134,1.0,0,0.0,0.0,-881.46,-44.04,0,,,,11533,147,0.007455685045539124,,
36,USDCAD,Long,2022-06-10T12:00:00,1.27408,5.0,0,2022-06-10T13:40:40,1.27514,5.0,0,1.27508,0.0,415.64,0.0,0,,,,11535,147,0.7851019062274284,,
37,EURJPY,Short,2022-06-09T10:06:06,142.821,5.0,0,2022-06-10T14:59:44,141.361,5.0,0,0.0,0.0,5570.16,-2.15,0,,,,11529,147,0.007492858143117212,,
38,CHFJPY,Short,2022-06-10T15:27:32,135.816,1.0,0,2022-06-10T15:27:41,137.812,1.0,0,0.0,0.0,-1489.02,-66.48,0,,,,11537,147,0.007461982445590783,,
39,EURJPY,Short,2022-06-10T15:30:39,141.363,1.0,0,2022-06-10T15:30:46,144.134,1.0,0,0.0,0.0,-2066.15,-11.01,0,,,,11538,147,0.007456963950896805,,
